variant,seed,price_mse,max_abs_err,max_ctr_ability
primary,999,0.0006952396958541092,0.8571428571418493,1.3054354810366635
primary,7,0.0006965652759042914,0.8749999999989913,1.0418525841330755
primary,43,0.0006438982097123327,0.7999999999989922,0.8014632225913779
primary,101,0.0009424004623285329,0.888888888887881,0.868311767394991
primary,202,0.0008132917826554607,0.888888888887881,0.9183392116467457
primary,303,0.000594274897423311,0.7999999882221214,0.8317306571756373
primary,404,0.0005843216586234401,0.7499999997366862,0.7194380802359901
primary,505,0.0006807689927966843,0.888888888887881,0.9444798966965235
primary,606,0.0006735906726945103,0.8571428571418493,0.9561833342539132
primary,707,0.0006356061463164803,0.8571428571418493,0.9671731599922218
