bot,z1,z2
AdamGillard,0.17552021956695738,0.03197093419707066
AdamGillardEnhanced,0.1387418434316566,0.08549871925183816
AviralPoddar,0.24383844335341082,0.2480751663187462
BalanceSheetBot,0.1760620770843589,0.1891009294561038
BaseRateBot,0.06423235651134407,0.1396371979274313
BatteryMetalsBot,0.12479424161939903,0.07542705483642755
Beamer,0.11530151634282919,0.04204276901646006
BearCaseBot,0.08867654042094264,0.1688903730785727
BiopharmaMedtechBot,0.16363414874826582,0.0644031054688645
BiosecurityBot,0.08273597364367864,0.9159105947965586
BismuthBaron,0.015270038394899516,0.06075733656642935
Bot007,0.18414355918795827,0.12803168314588656
BullCaseBot,0.15464135222914463,0.022026829625015912
BullionPulse,-0.39577255558247304,-0.01751002827428541
BundPulse,0.07153349335816869,-0.03944549837036024
CalibrationBot,0.19409340717838663,0.13907421295606737
CarbonMarketsBot,0.15372380282694925,0.08373517021889369
Cftcsofts1,-0.00495214534388011,0.20425496735959947
ChrisChico,0.13916457978647273,-0.03080007397534054
ChrisChicoEnhanced,0.301465921975684,0.20937751751109412
ChrisManual,0.21093913587452112,0.052964521179178846
ChristopherCalderwood,0.1008814585880335,0.17786802129985102
ChromeChaser,0.1325864061802738,0.07545249689275957
ColinManual,0.09792438658641942,0.2981626605369636
ColtanTracer,0.11984068280404755,0.07640420530677589
CommoditySpotBot,0.13455626321558017,0.061713886222526604
ConsensusCorrecterBot,0.2091171246382913,0.11876729182169762
CorpActionsBot,-0.025642345102466962,0.3091833510927585
CottonTextBot,0.6744313713742287,0.07308486729698217
Cottonfundamental1,-0.006405247510144596,0.24236705677673664
CraigTindale,0.0912904059234814,0.1464939239641651
CraigTindaleEnhanced,0.13982082393131134,0.07505964582096092
CurtisSteele,0.13479294088752314,0.28563604734601106
DefenseProcurementBot,0.13958089805103474,0.05269761351934114
DiffusionMcBot,0.09838921820928062,0.09804418666037419
DysprosiumDuke,0.20859486373804767,0.16222428886551027
EJFreni,0.13878408610141396,0.09600425510299124
EnergyTransitionBot,0.1728025997215405,0.09373532292805017
EnsembleBot,0.5239644967415742,-0.28918874719564946
EquityTapeBot,0.030894468469500447,0.24448959418199853
ErbiumEdge,0.14472950680390276,0.1098351896984329
FastmarketsBattery,0.15107331949117875,0.08600398406614737
FastmarketsSpotBot,0.1562224311253064,0.16792640391371985
FatTailsBot,0.1697226757176988,0.13792363448748102
FedPolicyBot,0.15965845419575866,0.04226964268106779
ForwardCurveBot,0.2036393785660418,0.0743009813139532
FrontierFluxBot,0.20689415697646726,0.0956574737188508
FundamentalsFive,0.10172476445655007,0.03207170370000422
FxRatesBot,0.08563930534046761,0.051418570636324046
GlobalEventsBot,0.15938154553601866,0.041397997158422115
GoldmanSachsBot,0.07376362729323302,0.13326157460991428
GrindWatch,0.19613784977366183,0.004335556222777176
GrokSubstrate,0.12802632536619962,0.13944059078765583
HafniumHawk,0.16531862146018322,0.04061283008915023
HarmattanTrader,0.20770886052305543,0.2745274508334534
HolmiumHunter,0.16755541435464746,0.08017160996494317
IndiumInsight,0.13795610796570038,0.10055549516850965
IndustrialMetalsBot,0.16954716037434467,0.11362264865351251
Intercalation,0.15174926132963118,0.2609241931245596
