block,bot,z1,z2
0,cftc_softs_1,0.027790881483054482,-0.8971834145969759
0,commodity_1,-0.15184698909511596,-0.07173037889216899
0,commodity_spot_1,0.22612125464172217,-0.9961711455755958
0,cotton_fundamental_1,0.16091219368353232,0.29485793124745746
0,diffusion_mc_1,0.5303252477840178,0.10738018544564847
0,ensemble_1,-0.7659308098479618,2.0389586101288955
0,ladder_arb_1,0.41915427440228165,-1.2383909477353885
0,mercury_ensemble_1,-0.06191317409151933,-0.018471099006409565
0,nass_cotton_1,-0.09797715155657268,-0.13089083242283142
0,news_drift_1,-0.20198126720191528,0.4243004291985185
0,pair_trading_1,-0.08465446020152326,0.4873406622088503
