bot,n_resolved_markets,invested_mana,realized_pnl,return_per_mana,hit_rate_mana_weighted,brier_llm_estimate,estimate_coverage
surface_arb_1,2,66.0,1525.4028806964852,23.112164859037655,1.0,0.5542064483345177,1.0
term_structure_1,3,15.0,14.28571428571432,0.9523809523809547,1.0,0.05769863968023562,1.0
conditional_arb_1,1,15.0,13.043478260869549,0.8695652173913032,1.0,0.05884013920355697,1.0
commodity_spot_1,80,3398.0,1344.226146865665,0.3955933333918967,0.9243672748675692,0.07888980855071562,1.0
nass_cotton_1,2,294.0,88.00391366451458,0.2993330396752197,1.0,0.032259676087206014,1.0
enso_1,8,1445.0,363.57890762208785,0.2516117007765314,1.0,0.004438088518637225,1.0
ladder_arb_1,136,3228.0,804.2054275715291,0.24913427124272897,0.19114002478314746,0.18805596986118903,1.0
pair_trading_1,47,1791.0,274.59624371391084,0.1533200690753271,0.9363484087102177,0.07823993147238409,1.0
diffusion_mc_1,40,2861.0,251.93443344585862,0.08805817317226795,0.8864033554701154,0.14010046072435897,1.0
mercury_ensemble_1,4,147.0,-13.303351095065878,-0.09049898704126448,0.5102040816326531,0.11483402449334594,1.0
cotton_fundamental_1,32,3526.0,-600.9554746207219,-0.17043547209890014,0.6029495178672717,0.4895525879679672,1.0
news_drift_1,37,1705.0,-341.0629305694962,-0.20003690942492444,0.656891495601173,0.3570983702246701,1.0
commodity_1,14,589.0,-135.6624229485359,-0.23032669430990813,0.3938879456706282,0.5951000000000001,1.0
cftc_softs_1,31,2947.0,-851.3278299204921,-0.2888794808009814,0.5381744146589752,0.5019324186126377,1.0
ensemble_1,25,597.0,-381.96061770073584,-0.6398000296494738,0.18760469011725292,0.7247922324149695,1.0
llm_ag_coverage,8,453.0,-453.0,-1.0,0.3576158940397351,0.22525087868349875,1.0
