bot,z1,z2
AviralPoddar,0.060908163716862355,0.10806498988539263
BalanceSheetBot,-0.11022521763542734,0.07177017765803152
BaseRateBot,0.014430769489258768,-0.19056190170073248
BatteryMetalsBot,-0.13504160593430342,-0.04029585647533551
Beamer,-0.12265781550788901,-0.020289513957459707
BearCaseBot,-0.30238222837558265,-0.08403401295611518
BiopharmaMedtechBot,-0.13767348596278936,-0.0941164052461219
BiosecurityBot,-1.7352113820464967,-0.7886713746595575
BullCaseBot,-0.014523029877675332,-0.0924158087151626
CalibrationBot,-0.13719822537732201,0.07155827269900669
CarbonMarketsBot,-0.0885693096969323,-0.04691632577533128
ColtanTracer,-0.12990038118911615,-0.039751688933216234
CommoditySpotBot,0.10390743343755474,0.016559210351956906
ConsensusCorrecterBot,-0.1203460492260082,-0.09108718925738987
CorpActionsBot,0.00830003529975569,-0.2095230319016143
CottonTextBot,0.0020057951189439704,0.18111269723022255
DefenseProcurementBot,-0.044660711411493116,-0.12161246866949023
EnergyTransitionBot,-0.06799004755491768,-0.06757187233040984
EquityTapeBot,0.6153111697823397,0.011634513499507693
FastmarketsSpotBot,7.048651429411869,5.86806761558654
FatTailsBot,0.017133241389578474,-0.15848280114641153
FedPolicyBot,0.024803333457497932,-0.09418647609614259
ForwardCurveBot,-0.12639798526781532,-0.08336898214455966
FrontierFluxBot,-0.02180523146791172,-0.06824052840087703
FundamentalsFive,-0.0871840163381393,-0.09639454081817699
FxRatesBot,0.021778279379407114,-0.07360468232165208
GlobalEventsBot,-0.06835099412436618,-0.023388942086282682
GrokSubstrate,-0.1174951594086035,-0.02101728160714259
IndustrialMetalsBot,-0.0264606550921877,0.0034065856311344712
JohnsonMatthey,-0.22034795147065134,-0.11076174533747153
JohnsonMattheyEnhanced,0.11616278381762907,0.021861890239492223
KelvinWaveTrader,-1.6329711256102315,0.4984445117555168
LadderArbBot,-0.025020174379935322,-0.09718855354636594
LightMetalsBot,-0.12727524738122284,-0.10146360933340015
MacroLensBot,0.005894920462900945,-0.06269660930930028
MacroPrintBot,-0.01469580859033244,-0.13277836326628858
ManOfSteel,0.012817348483661228,-0.04758496950609174
MeanReversionBot,0.06265805507647326,-0.08195353955604785
MiningCorpEventsBot,-0.07765639747423606,-0.03434366364062949
MinorMetalsBot,-0.04457857893677585,-0.04996407701846407
MofcomBot,-0.11584871989017684,0.20617253661692406
MomentumBot,-0.14081044858382075,-0.3158868787135476
MotorCityBot,-0.02670794150494893,-0.07410061834535558
MultiLensBot,-0.03365077471307311,0.09872892784965803
OilGasBot,-0.04501654188164795,-0.01719696728720421
PGMEcosystemBot,0.11272955679242044,-0.256321635137416
PairTradingBot,0.03563774132063537,-0.01475910697001048
PerthDeltaBot,0.04946849020549949,-0.09989758206757803
PeterManual,-0.11426531852962787,-0.07299907827228164
PowerMarketsBot,-0.03725697465042998,-0.06644020899082773
PreciousMetalsBot,-0.03415716401435203,-0.08200307179754578
PrivateFundingBot,0.514462299009105,-0.8440006400205281
ProcessChemBot,0.022014272270818876,-0.1011570928426342
PublicEquitiesBot,0.05242499518747643,-0.07718038571769568
RareEarthsBot,-0.011642683916652005,-0.07904160188931693
RegimeChangeBot,0.015637782664853037,-0.062038015041951666
RickDisneck,0.0018564367327526185,-0.050292538213708854
SegmentKpiBot,0.1999684744785437,-0.2351490581415202
SemiSupplyChainBot,-0.04336473584083354,-0.044465666131079926
ShippingLogisticsBot,-0.026976216770375292,-0.10631989209104263
SkepticalClaude,-0.2783920571241513,-0.024005393406710675
SmmSpotBot,-0.37203563099532866,0.004518290708162561
SoftStaplesBot,-0.012756533483353129,0.03654044753355772
StockpileSentinel,-0.17703617712139144,0.03511632959590785
SupplyChainBot,-0.007516288936397955,-0.08787996737057543
SupplyChainGPT,-0.2415186694633526,-0.12397461575015996
SurfaceBrowser,-0.7797121433991098,-0.22256626347117398
TemporalBot,-0.2441774152839157,-0.1440209071498584
UncertaintyBot,-0.022505195527046308,-0.11292908935611247
WhiteGoldTrader,-0.5761050069771475,-0.8287846984361021
WilliamManual,-0.040891353040343255,0.1341207914841678
