bot,z1,z2,consensus_skill,consensus_seed_std,plain_skill_diagnostic,rayproj_skill_diagnostic,best_seed,price_mse_best,n_conditions,n_races,rank_median,rank_lo95,rank_hi95,skill_lo95,skill_hi95,boot_coverage,boot_level,boot_lower_bound
RegimeChangeBot,0.015637782664853037,-0.062038015041951666,0.005483836345279129,0.005930211348757535,0.000875916539946776,-0.0068323734294812,404,0.0007592418907330324,380,4339,35.0,19.975,55.025000000000006,-0.010632254534912495,0.0219103618909895,1.0,cluster,False
RickDisneck,0.0018564367327526185,-0.050292538213708854,0.005282230223751098,0.006677388754526992,-0.0009671225174611197,0.005176108745933848,404,0.0007592418907330324,298,3114,37.0,20.975,56.0,-0.009395015670815746,0.021503792635921688,1.0,cluster,False
ForwardCurveBot,-0.12639798526781532,-0.08336898214455966,0.005158855587150984,0.008343263065436759,-0.003779985464479385,0.136790211707631,404,0.0007592418907330324,364,3681,32.0,15.975000000000001,55.05000000000001,-0.009712926884544363,0.03753542425732932,1.0,cluster,False
MacroPrintBot,-0.01469580859033244,-0.13277836326628858,0.0047837752737633545,0.0045517066272671765,-0.004581346147139321,0.03307103535701175,404,0.0007592418907330324,325,3191,28.0,13.975000000000001,51.025000000000006,-0.0060477071055049575,0.0487966462872675,1.0,cluster,False
IndustrialMetalsBot,-0.0264606550921877,0.0034065856311344712,0.004559650390209518,0.005228772845388546,0.0007829978313165592,0.025726905768445576,404,0.0007592418907330324,285,2997,40.0,19.0,60.0,-0.013400024331989745,0.028250522740538943,1.0,cluster,False
Beamer,-0.12265781550788901,-0.020289513957459707,0.004535874450566699,0.004772875226053086,7.84663472230088e-05,0.12428877896483935,404,0.0007592418907330324,357,3637,39.0,15.0,57.025000000000006,-0.012136291989800502,0.034695403252339205,1.0,cluster,False
UncertaintyBot,-0.022505195527046308,-0.11292908935611247,0.004012651698958439,0.007115999942751592,-0.0008727474465241494,0.038035675614839635,404,0.0007592418907330324,409,4358,31.5,16.975,51.05000000000001,-0.007952641274237017,0.03652562903845214,1.0,cluster,False
FundamentalsFive,-0.0871840163381393,-0.09639454081817699,0.00393568364041253,0.004211705539321893,0.0013592182096133667,0.09977622016110788,404,0.0007592418907330324,389,4304,33.5,19.0,54.0,-0.009878660252712857,0.02462866524731324,1.0,cluster,False
FatTailsBot,0.017133241389578474,-0.15848280114641153,0.0037499541681424208,0.006516728869863881,-0.001142777680361844,0.005138131270525294,404,0.0007592418907330324,347,3810,37.0,23.0,55.0,-0.013049616752540114,0.019890271051102026,1.0,cluster,False
FxRatesBot,0.021778279379407114,-0.07360468232165208,0.0033810374645319033,0.009110025212652886,0.0004058425034153489,-0.01129962685182079,404,0.0007592418907330324,117,1022,43.0,14.950000000000001,61.025000000000006,-0.016213444295130063,0.04266609283109298,1.0,cluster,False
MeanReversionBot,0.06265805507647326,-0.08195353955604785,0.003147429755401497,0.01018264618970069,-0.005177694759204246,-0.05061541248170023,404,0.0007592418907330324,357,4209,31.0,17.0,53.025000000000006,-0.007758188830202358,0.03493807048284694,1.0,cluster,False
MotorCityBot,-0.02670794150494893,-0.07410061834535558,0.00280072615277031,0.0047606311845980595,-0.0016190378533954635,0.036781859661092,404,0.0007592418907330324,313,3259,31.0,16.975,52.0,-0.007551605934230148,0.03930723687224308,1.0,cluster,False
GrokSubstrate,-0.1174951594086035,-0.02101728160714259,0.0027708142948852225,0.004202276633671342,0.0009073310978057159,0.1192780857917113,404,0.0007592418907330324,299,3007,40.5,22.0,57.0,-0.01174828715677768,0.019592806392893968,1.0,cluster,False
BatteryMetalsBot,-0.13504160593430342,-0.04029585647533551,0.002628502440291488,0.005831074477014014,-0.0006546860475238502,0.1393418549451482,404,0.0007592418907330324,261,2399,51.0,24.975,60.0,-0.01460429618204571,0.01419084017868318,1.0,cluster,False
MinorMetalsBot,-0.04457857893677585,-0.04996407701846407,0.002124586620162585,0.003693861225348969,-0.0015337738252704696,0.05111145816572092,404,0.0007592418907330324,269,2690,45.5,25.975,57.0,-0.011789277931187335,0.01678655072955133,1.0,cluster,False
MacroLensBot,0.005894920462900945,-0.06269660930930028,0.001922039903164454,0.005703025566913357,-0.00409241556960028,0.002907117647997709,404,0.0007592418907330324,356,3621,39.0,22.0,57.025000000000006,-0.012591953932061358,0.017186664713016428,1.0,cluster,False
RareEarthsBot,-0.011642683916652005,-0.07904160188931693,0.001828572258784034,0.004639796737112751,-0.0025834230715094247,0.022552978500728682,404,0.0007592418907330324,219,2123,41.0,20.975,60.025000000000006,-0.012831665148559431,0.020402603935916763,1.0,cluster,False
BiopharmaMedtechBot,-0.13767348596278936,-0.0941164052461219,0.0007369270847617805,0.00726749477125513,9.45546970842509e-05,0.14945447038982496,404,0.0007592418907330324,156,1450,49.0,21.950000000000003,62.0,-0.02042255414176637,0.02687083228179395,1.0,cluster,False
PowerMarketsBot,-0.03725697465042998,-0.06644020899082773,0.00023502045129523966,0.003410082704228285,-0.002013847680598331,0.04615937413901452,404,0.0007592418907330324,258,2408,46.0,25.0,57.0,-0.012641956170465039,0.013197648975896736,1.0,cluster,False
SupplyChainBot,-0.007516288936397955,-0.08787996737057543,5.575737428295672e-05,0.0036366993070116043,-0.0036806528226751866,0.019699619316201476,404,0.0007592418907330324,394,4381,38.5,23.975,57.0,-0.012862787971101842,0.018253546434556053,1.0,cluster,False
ManOfSteel,0.012817348483661228,-0.04758496950609174,-1.5574665324866178e-05,0.00733820440733001,-0.0038941277909432847,-0.006055301238622784,404,0.0007592418907330324,51,659,49.0,19.975,62.025000000000006,-0.015927715424601935,0.03329806440716416,1.0,cluster,False
SmmSpotBot,-0.37203563099532866,0.004518290708162561,-8.978632184529836e-05,0.04847344582784616,-0.0026204002666633643,0.36776918557828264,404,0.0007592418907330324,2,43,61.0,10.75,68.25,-0.16231535133530445,0.06364946062759584,0.955,cluster,False
SemiSupplyChainBot,-0.04336473584083354,-0.044465666131079926,-0.0003678519427284371,0.0017958319261722417,-0.001069999088806824,0.04914260481103451,404,0.0007592418907330324,321,3309,51.0,34.0,61.0,-0.013407257786738914,0.005898113338121955,1.0,cluster,False
ShippingLogisticsBot,-0.026976216770375292,-0.10631989209104263,-0.0005499667888573351,0.005113242755372903,-0.0027301583144260975,0.04154119923160976,404,0.0007592418907330324,277,2695,46.5,23.0,59.025000000000006,-0.012995701921601271,0.020279131137699958,1.0,cluster,False
DefenseProcurementBot,-0.044660711411493116,-0.12161246866949023,-0.0006129786764343326,0.004760090228848174,-0.003467211598453919,0.061185732082302074,404,0.0007592418907330324,319,3235,52.0,25.900000000000002,62.0,-0.013847152252097093,0.007859554723714017,1.0,cluster,False
EnergyTransitionBot,-0.06799004755491768,-0.06757187233040984,-0.0006373348115653031,0.0023944891426704203,-0.0012522356677957438,0.07674989781830983,404,0.0007592418907330324,339,3503,50.0,29.0,62.0,-0.0154760589873475,0.007753708922477218,1.0,cluster,False
BullCaseBot,-0.014523029877675332,-0.0924158087151626,-0.0007302983611619575,0.0030541857162089295,-0.00270883514337847,0.02727049932844553,404,0.0007592418907330324,369,4338,49.0,28.975,60.0,-0.01598142464294137,0.008605485109754302,1.0,cluster,False
GlobalEventsBot,-0.06835099412436618,-0.023388942086282682,-0.000919291422965526,0.003492529451666404,-0.001660698763961564,0.07094503502546953,404,0.0007592418907330324,355,3573,48.0,23.950000000000003,63.0,-0.017751919100327244,0.025492528667989765,1.0,cluster,False
FedPolicyBot,0.024803333457497932,-0.09418647609614259,-0.0012702436790584823,0.005493563466451048,-0.0030556374759817414,-0.011424530237285322,404,0.0007592418907330324,107,1065,45.0,13.975000000000001,64.0,-0.02150341361166701,0.04712578826449647,1.0,cluster,False
FrontierFluxBot,-0.02180523146791172,-0.06824052840087703,-0.0013766936232171908,0.003710721991745384,-0.005202827152472489,0.03110975019259157,404,0.0007592418907330324,307,3203,32.0,16.0,52.025000000000006,-0.008854784782339184,0.03251805930698299,1.0,cluster,False
MiningCorpEventsBot,-0.07765639747423606,-0.03434366364062949,-0.0019353040029858083,0.002371656790110141,-0.003807732099424077,0.08168736439196066,404,0.0007592418907330324,294,3029,53.0,35.925000000000004,61.0,-0.01604981293605497,0.003562218272506774,1.0,cluster,False
PreciousMetalsBot,-0.03415716401435203,-0.08200307179754578,-0.0021534797952039073,0.005353817848443664,-0.0031964337924248144,0.045260444544446984,404,0.0007592418907330324,211,1988,49.0,27.0,62.0,-0.01748206348340433,0.012562377700588122,1.0,cluster,False
OilGasBot,-0.04501654188164795,-0.01719696728720421,-0.0026049412443918743,0.006582606720698775,-0.00362824892879351,0.046975046265904756,404,0.0007592418907330324,113,1099,53.0,18.0,63.0,-0.02413603070395935,0.02829851696935377,1.0,cluster,False
JohnsonMattheyEnhanced,0.11616278381762907,0.021861890239492223,-0.009853565634433868,0.014115261498940677,-0.012992415508189114,-0.11807653207066653,404,0.0007592418907330324,16,244,31.0,5.0,68.0,-0.1211985927309791,0.18267803780682462,1.0,cluster,False
ProcessChemBot,0.022014272270818876,-0.1011570928426342,-0.012909781533397422,0.012527485661813456,-0.014828212845089204,-0.007690523458760232,404,0.0007592418907330324,14,162,60.0,5.9750000000000005,67.0,-0.058934231495470626,0.22374153503640942,1.0,cluster,False
LadderArbBot,-0.025020174379935322,-0.09718855354636594,-0.02757863087227382,0.018438237039221823,-0.028178431052599852,0.03833070915445673,404,0.0007592418907330324,2,98,10.0,3.0,66.0,-0.07609259950376238,0.5986128991854898,1.0,cluster,False
EquityTapeBot,0.6153111697823397,0.011634513499507693,-0.03790004447194283,0.08086611921761591,-0.0701901156894583,-0.6109198169300082,404,0.0007592418907330324,7,259,64.0,7.0,70.0,-0.1526519216672414,0.17788643775769225,1.0,cluster,False
ColtanTracer,-0.12990038118911615,-0.039751688933216234,-0.04167382268687252,0.012678824131797082,-0.04167382268687252,0.13417498431624722,404,0.0007592418907330324,1,9,60.0,13.0,67.0,-0.08935590270740823,0.06034023839489426,0.74,cluster,False
PairTradingBot,0.03563774132063537,-0.01475910697001048,-0.044613260798933865,0.022814805619051602,-0.045311676696682686,-0.033230936488467255,404,0.0007592418907330324,3,54,65.0,31.675000000000004,69.475,-0.1421529753790242,0.007513296131259176,0.91,cluster,False
CommoditySpotBot,0.10390743343755474,0.016559210351956906,-0.047719520682397945,0.032913279989969735,-0.0459680360618635,-0.1052013899432476,404,0.0007592418907330324,5,78,66.0,59.775,70.0,-0.16765681186526962,-0.013601665322259036,0.96,cluster,False
WilliamManual,-0.040891353040343255,0.1341207914841678,-0.06093907063048596,0.01477336338736541,-0.06093907063048596,0.02178558708890458,404,0.0007592418907330324,1,48,66.0,1.0,71.0,-0.5536239985596928,1.3293128442343796,0.97,cluster,False
PeterManual,-0.11426531852962787,-0.07299907827228164,-0.06779257898406968,0.013195612595280183,-0.06779257898406968,0.12332981827010564,404,0.0007592418907330324,1,194,60.0,4.0,67.025,-0.09686607011351073,0.3138846443830539,1.0,cluster,False
SoftStaplesBot,-0.012756533483353129,0.03654044753355772,-0.2355641344916471,0.038893886772401486,-0.17470144432461096,0.007535482169026951,404,0.0007592418907330324,11,188,66.0,3.0,70.025,-0.2844151111093523,0.44917782621412466,1.0,cluster,False
CottonTextBot,0.0020057951189439704,0.18111269723022255,-0.5086184562334837,0.030760401544833997,-0.5043668525590432,-0.027246339917026303,404,0.0007592418907330324,3,69,69.0,5.0,71.0,-0.5332745445164383,0.3774500176014712,0.745,cluster,False
