bot,z1,z2,consensus_skill,consensus_seed_std,plain_skill_diagnostic,rayproj_skill_diagnostic,best_seed,price_mse_best,n_conditions,n_races,rank_median,rank_lo95,rank_hi95,skill_lo95,skill_hi95,boot_coverage,boot_level,boot_lower_bound
KelvinWaveTrader,-1.6329711256102315,0.4984445117555168,0.8227972392994785,0.05572734526390011,0.6957918471033583,1.5474914405527196,404,0.0007592418907330324,4,57,2.0,1.0,4.0,0.5754535478390502,1.273263189099787,0.675,cluster,False
PrivateFundingBot,0.514462299009105,-0.8440006400205281,0.7717115314063632,0.03332047829245881,0.7717115314063633,-0.3917194986059324,404,0.0007592418907330324,1,19,3.0,1.0,70.0,-0.4355166723513723,1.1511638176255703,0.84,cluster,False
BiosecurityBot,-1.7352113820464967,-0.7886713746595575,0.7302576036398093,0.06541597924303438,0.477093666053077,1.828249024268628,404,0.0007592418907330324,3,56,1.0,1.0,12.649999999999437,0.0776803300940671,1.332954170919174,0.995,cluster,False
SurfaceBrowser,-0.7797121433991098,-0.22256626347117398,0.4896817465658456,0.10321978199560634,0.4896817465658456,0.8031330102387776,404,0.0007592418907330324,1,36,4.0,1.0,69.0,-0.13016629672888666,1.02125730918378,0.965,cluster,False
WhiteGoldTrader,-0.5761050069771475,-0.8287846984361021,0.37093430065295735,0.02762203863864757,0.18751941141126557,0.6860664219766358,404,0.0007592418907330324,4,67,5.0,3.0,69.0,-0.21094401063909513,0.4624027755820947,0.76,cluster,False
FastmarketsSpotBot,7.048651429411869,5.86806761558654,0.33593742289899187,0.09091150059913018,0.2335173532107031,-7.798189125246937,404,0.0007592418907330324,2,30,8.0,2.0,69.0,-0.168111010284267,0.7755967014691837,0.925,cluster,False
SegmentKpiBot,0.1999684744785437,-0.2351490581415202,0.07588801493555934,0.049345118898557236,0.034907073120687956,-0.16521727723305377,404,0.0007592418907330324,5,197,9.0,4.0,64.0,-0.0409448015066363,0.4948859771069655,1.0,cluster,False
CorpActionsBot,0.00830003529975569,-0.2095230319016143,0.07502926536272575,0.09830279560529147,0.07502926536272575,0.021003684609846883,404,0.0007592418907330324,1,23,33.0,3.0,70.0,-0.3855193454470739,0.6586079092294049,0.885,cluster,False
JohnsonMatthey,-0.22034795147065134,-0.11076174533747153,0.05968750880415169,0.012372954398319876,-0.001549381743552246,0.233642435783904,404,0.0007592418907330324,13,216,15.0,3.9750000000000005,65.025,-0.06551717825487266,0.37177203786264745,1.0,cluster,False
MomentumBot,-0.14081044858382075,-0.3158868787135476,0.054021528962579876,0.01579322901747081,0.014918224809070523,0.18349154300578652,404,0.0007592418907330324,398,4453,11.0,6.0,25.025000000000006,0.019047329519819967,0.11390941639031321,1.0,cluster,False
MofcomBot,-0.11584871989017684,0.20617253661692406,0.050152422587226256,0.027706699597328202,0.01743095610190677,0.08596112109809669,404,0.0007592418907330324,37,479,14.5,5.0,55.07500000000002,-0.00790414620431405,0.228560193325679,1.0,cluster,False
BearCaseBot,-0.30238222837558265,-0.08403401295611518,0.04428794808006592,0.012557805778060838,0.0033169707400004427,0.3111471407721222,404,0.0007592418907330324,407,4504,14.0,8.0,26.05000000000001,0.016034009710501885,0.0814907743622054,1.0,cluster,False
TemporalBot,-0.2441774152839157,-0.1440209071498584,0.03632778429644298,0.01940714353570677,0.007628299408442225,0.26187771248121255,404,0.0007592418907330324,407,4480,16.0,8.0,33.0,0.006342118000101063,0.0817894232765639,1.0,cluster,False
PGMEcosystemBot,0.11272955679242044,-0.256321635137416,0.03472924566441679,0.00974288685705134,-0.00594809929746006,-0.07587804977630352,404,0.0007592418907330324,197,1967,14.5,6.0,42.025000000000006,-0.0019249940329884251,0.13024279504116948,1.0,cluster,False
SkepticalClaude,-0.2783920571241513,-0.024005393406710675,0.03310321127094924,0.012370028961739441,0.010909992353081193,0.27901913768260084,404,0.0007592418907330324,425,4380,15.0,9.0,31.0,0.006408026775317785,0.0778986700186769,1.0,cluster,False
SupplyChainGPT,-0.2415186694633526,-0.12397461575015996,0.026799390559859283,0.011988166126735375,0.00533292874887669,0.2564490569237844,404,0.0007592418907330324,388,4111,19.0,8.975000000000001,41.05000000000001,0.00022228531619922248,0.06870463455520875,1.0,cluster,False
MultiLensBot,-0.03365077471307311,0.09872892784965803,0.021944411435314386,0.009613321417420854,-0.0011136331927233533,0.019551951928086474,404,0.0007592418907330324,426,4937,15.0,9.0,28.025000000000006,0.013000997790116294,0.0699628697916578,1.0,cluster,False
LightMetalsBot,-0.12727524738122284,-0.10146360933340015,0.017249176006834906,0.01613815725430047,0.0013242401146160436,0.1401825932483032,404,0.0007592418907330324,50,388,19.0,5.0,62.0,-0.020826881511790154,0.177754289101023,1.0,cluster,False
StockpileSentinel,-0.17703617712139144,0.03511632959590785,0.013868878792633649,0.011134866988741582,0.0028343566272187115,0.17040808373122013,404,0.0007592418907330324,25,389,35.0,7.9750000000000005,61.0,-0.01872547133297953,0.14156216153740936,1.0,cluster,False
BalanceSheetBot,-0.11022521763542734,0.07177017765803152,0.01344281206205479,0.008920903815409375,-0.004477394812637386,0.09913794815488917,404,0.0007592418907330324,372,4018,19.5,9.975000000000001,38.07500000000002,0.0019563176933677464,0.06896901832120306,1.0,cluster,False
CalibrationBot,-0.13719822537732201,0.07155827269900669,0.012833058161717115,0.011428050440402357,0.002453715249794225,0.12587687695192235,404,0.0007592418907330324,421,4562,24.0,11.0,45.05000000000001,-0.004700184649023391,0.05076101070642312,1.0,cluster,False
ConsensusCorrecterBot,-0.1203460492260082,-0.09108718925738987,0.012235484519420917,0.0194204034299032,0.005568553089053303,0.13187390094590243,404,0.0007592418907330324,210,2640,26.0,10.975000000000001,56.025000000000006,-0.011542872791712292,0.061042503042711235,1.0,cluster,False
BaseRateBot,0.014430769489258768,-0.19056190170073248,0.012066282003580472,0.011585965130280283,-0.0003478941605374572,0.012288325441593419,404,0.0007592418907330324,416,4707,22.0,11.0,40.07500000000002,-0.001353844720005132,0.04984946960426232,1.0,cluster,False
PerthDeltaBot,0.04946849020549949,-0.09989758206757803,0.010587623981835735,0.009560180989447853,0.0028229878909981545,-0.03505207078206421,404,0.0007592418907330324,22,229,37.0,6.0,64.0,-0.030550987879945504,0.14056044283289632,1.0,cluster,False
CarbonMarketsBot,-0.0885693096969323,-0.04691632577533128,0.008581836438617495,0.006366933136496073,0.0043593331423023175,0.09424714826726341,404,0.0007592418907330324,315,3009,35.0,21.975,52.025000000000006,-0.009166288225904682,0.020613830719430373,1.0,cluster,False
AviralPoddar,0.060908163716862355,0.10806498988539263,0.0063442912018012885,0.03590466741777227,-0.0023483234486382223,-0.07538488813634654,404,0.0007592418907330324,8,230,18.5,3.0,66.025,-0.06936645951108913,0.5027521848924789,1.0,cluster,False
PublicEquitiesBot,0.05242499518747643,-0.07718038571769568,0.005749036181259986,0.006185980531480318,-0.004794456835205357,-0.04114809165244317,404,0.0007592418907330324,378,3922,21.0,10.0,44.025000000000006,-0.0010027288637994858,0.061587511886072116,1.0,cluster,False
