variant,seed,price_mse,max_abs_err,max_ctr_ability
primary,999,0.0008571934067726308,0.8749999997366862,1.2767637494356037
primary,7,0.000839511613498811,0.5555555555476066,1.2615595935346169
primary,43,0.0008896129089438975,0.888888888887881,1.4574549602932307
primary,101,0.0008328075696391033,0.5555555555476066,1.2229792042899117
primary,202,0.000770097764620253,0.41539037258562495,1.1332841082156424
primary,303,0.0007667667027067582,0.40457943056790063,1.1161026192676466
primary,404,0.0007592418907330324,0.4176466351750365,1.377197384984711
primary,505,0.0010430084416043108,0.9166567790038016,1.1876489435113482
primary,606,0.0007985354722850291,0.44444444443649544,1.3483702363090457
primary,707,0.0012400644883771175,0.9090909090899012,1.3530512483999477
dim1,999,0.0009343816919989393,0.7498316188226618,1.0122636200588937
dim1,7,0.0008975223946676984,0.4499509438814792,0.8791568378563466
dim1,43,0.0008868893827645617,0.48030002180003206,1.036421962773443
alpha0.25,999,0.0018555756244116976,0.9333333333323255,1.5338666622210448
alpha0.25,7,0.0016457648718028232,0.599999999992051,1.5560690373429074
alpha0.25,43,0.001680545912597122,0.6842105263078405,1.740076564229647
alpha1.0,999,0.0005485022304143858,0.8571428571418493,0.9701551215057657
alpha1.0,7,0.00036322281825484746,0.5833333333253844,0.9739448802401268
alpha1.0,43,0.00032509295313910727,0.3081025072831877,1.0642591694628472
min5,999,0.0004525888948299943,0.269268611911926,1.1628027002990162
min5,7,0.0004467732808427913,0.260075478957693,1.2065997487979967
min5,43,0.00043218690976457236,0.25280500613485357,1.2566518313954456
