block,cond_id,v1,v2,beta,n_races
0,gold|commodity_spot_1+diffusion_mc_1+news_drift_1,-0.02606275624445579,-0.9996603086733724,-0.1743620236673377,5
0,gold|diffusion_mc_1+news_drift_1,-0.9332987591243351,0.3591008580008915,0.43047582970974374,3
0,palladium|commodity_spot_1+diffusion_mc_1+pair_trading_1,-0.2520617440384333,-0.9677111538017443,0.005021713816322595,8
0,palladium|commodity_spot_1+pair_trading_1,-0.927987327979124,-0.3726117538540161,-0.08189468077017846,9
0,platinum|commodity_spot_1+pair_trading_1,-0.9345906404810136,-0.35572508307018336,-0.07871748211559029,6
0,platinum|diffusion_mc_1+pair_trading_1,-0.9645838026288509,0.2637765867283636,0.06378835263249792,3
0,silver|commodity_spot_1+diffusion_mc_1+news_drift_1+pair_trading_1,0.9845594076630136,0.17505077201273844,0.008520487138753731,5
0,silver|commodity_spot_1+pair_trading_1,-0.4574313016555172,-0.889244963025228,-0.0513667914394883,5
1,cotton|cftc_softs_1+commodity_1+cotton_fundamental_1,0.6108467481269773,0.7917488555739739,0.014783043374452597,10
1,cotton|cftc_softs_1+cotton_fundamental_1,0.9440421066568899,-0.3298249548757967,0.18186142657075274,19
