block,bot,z1,z2
0,commodity_spot_1,-0.08722875773065233,0.9894008039128351
0,diffusion_mc_1,-0.3422997949543778,-0.009061883393274002
0,news_drift_1,0.46165111863046504,-0.3709424099573337
0,pair_trading_1,-0.032122565945434924,-0.6093965105622274
1,cftc_softs_1,0.5821838134186585,-0.1751333557995334
1,commodity_1,-0.08979880100201132,-0.1861197070699189
1,cotton_fundamental_1,-0.4923850124166472,0.3612530628694523
