bot,rated,n_races,wins,losses,ties,theta_lattice,theta_bt,n_markets,invested,realized,ret_per_mana,rank_median,rank_lo95,rank_hi95,theta_lo95,theta_hi95
SupplyChainBot,True,4381,67438,56747,11572,-0.1534866434432957,-0.20173973290209818,4381.0,126872.70043034086,11069.857553710655,0.08725169020729194,18.0,13.0,24.0,-0.2151888768935453,-0.10078670484748918
MomentumBot,True,4453,64859,54667,11290,-0.15471179579732874,-0.20310695007882523,4453.0,125329.29592623358,22168.08584615468,0.17687872322527362,18.0,13.0,24.0,-0.21608250881907168,-0.1005000690899287
WhiteGoldTrader,True,67,194,180,92,-0.19143983914179513,-0.2486491027300286,67.0,1224.6755482495396,137.77031517319728,0.11249535876674924,22.0,2.0,125.0,-1.1239747678175187,1.0886417044989896
SegmentKpiBot,True,197,2255,1972,696,-0.19476690849588663,-0.25651161524468064,197.0,2839.1381200330748,759.429829351542,0.2674860458506665,21.0,7.975000000000001,55.0,-0.3785560880230309,-0.023127046536463174
GrokSubstrate,True,3007,46492,43542,10435,-0.22872242135323714,-0.2995130421841575,3007.0,89567.57749298387,9410.622487457314,0.10506728830747354,24.0,18.0,33.0,-0.3012843416214205,-0.16058060897752668
ThomasEvansGSEnhanced,True,46,697,569,125,-0.2287836962484088,-0.3015475253001521,46.0,3179.0,826.1208635466083,0.25986815462302876,25.0,3.0,100.0,-0.6506923493590389,0.1515041557866718
HolmiumHunter,True,37,648,568,97,-0.2338179676291222,-0.3046508692808154,37.0,13332.628784975845,-198.08933085106827,-0.014857484900073827,24.0,4.0,94.0,-0.6176065949182167,0.0948442442777503
FundamentalsFive,True,4304,61995,60590,11993,-0.25704533684947883,-0.33614760869225985,4304.0,128455.21283978404,4219.05226735762,0.03284453915171071,27.0,20.0,38.02499999999998,-0.32312013789341365,-0.2011258845228629
PGMEcosystemBot,True,1967,29691,29168,6779,-0.262962677918959,-0.3442159846702819,1967.0,71769.7486190101,7636.599548893652,0.10640415628919868,29.0,19.0,49.02499999999998,-0.3610962249906028,-0.18093444577513104
Beamer,True,3637,52967,52562,15176,-0.2688829750142418,-0.35191684648472876,3637.0,48253.21968924444,7098.975043312796,0.1471191992789477,30.0,21.0,47.0,-0.3457439339106301,-0.2095873608716585
BalanceSheetBot,True,4018,53689,53588,16760,-0.27315248687424293,-0.3572984852467554,4021.0,56523.754954775926,6118.44714575756,0.10824558896791034,31.0,22.0,44.02499999999998,-0.3365901841236654,-0.21908718120198786
MacroPrintBot,True,3191,45381,45127,15718,-0.27341893849928617,-0.3576402600390233,3191.0,34823.888119503135,4806.315621257752,0.1380177768997016,30.0,22.0,44.0,-0.33747538080424594,-0.2181923216988512
RareEarthsBot,True,2123,33163,33272,6852,-0.27545051609608406,-0.3601397409559219,2123.0,72322.68713997834,6597.138981691301,0.09121811208317994,31.0,21.0,48.02499999999998,-0.3510009682320231,-0.20561417099334567
IndustrialMetalsBot,True,2997,44468,44710,10522,-0.27775089391949326,-0.3632192172973967,2997.0,80985.24511460288,7959.405626033004,0.09828216997762475,32.0,23.0,45.0,-0.3438083086044298,-0.22313179654101847
SurfaceBrowser,True,36,569,582,82,-0.2953258720823532,-0.3869447028451545,36.0,1164.2266060090817,492.0342295843829,0.4226275426491539,35.0,4.0,111.0,-0.748777380343985,0.14725824124825207
FrontierFluxBot,True,3203,45693,47069,16696,-0.29610804851670003,-0.38714077414360926,3203.0,51473.72090629871,6369.63361830864,0.12374535017399925,36.0,26.0,49.0,-0.3574362891583549,-0.24520732066190776
SemiSupplyChainBot,True,3309,47178,48861,14929,-0.29682601630813477,-0.387935456278131,3309.0,55959.53783285216,4416.447581505445,0.07892215969862212,36.0,26.0,50.0,-0.3580331283046944,-0.2417383126747742
MeanReversionBot,True,4209,54370,56284,19477,-0.2968455511521331,-0.3880462558141763,4209.0,42238.76713748309,5666.537054443847,0.13415488752310925,37.0,26.0,50.0,-0.35797685583321814,-0.24367867596885998
ForwardCurveBot,True,3681,51196,53451,17468,-0.30380235434629765,-0.39703453337050854,3681.0,44622.855215554046,4780.925909409107,0.10714074404953439,38.0,26.0,53.0,-0.3751005936661259,-0.242583152028522
CorpActionsBot,True,23,85,94,37,-0.30632504842691066,-0.4018270438968594,23.0,810.1639119214194,221.64146240698273,0.27357607410743384,37.0,9.975000000000001,112.02499999999998,-0.7825922931780421,-0.05409529256532273
PublicEquitiesBot,True,3922,49802,52397,18651,-0.3073904356372078,-0.4018602299136274,3928.0,43433.89096732158,5868.703636109173,0.13511807267105352,39.0,28.975,52.0,-0.3692924952965846,-0.25424643189144197
MinorMetalsBot,True,2690,40119,42303,13442,-0.30980822508123235,-0.40474052233013924,2690.0,42383.063924081995,4207.752016661286,0.0992790899732581,40.0,26.0,54.0,-0.3773030629296565,-0.25188250829551273
MotorCityBot,True,3259,46235,48858,16175,-0.31242661574188313,-0.4081224407773312,3259.0,48973.59549111401,6346.26836451504,0.1295855103321245,41.0,27.0,57.0,-0.3851416529442081,-0.2510151947671113
ManOfSteel,True,659,9847,10514,2920,-0.32446230276425797,-0.42404558369070433,659.0,9056.359153660691,1086.4262449086468,0.11996280475134426,45.0,21.0,71.0,-0.45035919028949273,-0.1936500583377409
PreciousMetalsBot,True,1988,28947,31272,7736,-0.3279125076429681,-0.4285679094521472,1988.0,42940.23512437229,4024.7646143934144,0.09372944984432592,46.0,29.0,62.0,-0.4106062692543071,-0.2620451896177629
TallulahAdams,True,26,391,388,67,-0.32896599233022145,-0.4327512034762504,26.0,7394.271693758708,-943.467130050484,-0.1275943283023854,47.5,7.0,96.02499999999998,-0.6216676013916559,-0.007781895167900666
MofcomBot,True,479,7050,7571,2578,-0.32966260918268336,-0.43110063999244663,479.0,7374.3092317623305,1042.9020667582847,0.14142369596684914,47.0,23.0,73.0,-0.45975661223076586,-0.21651282825579374
RegimeChangeBot,True,4339,55213,60308,18764,-0.3315828670735687,-0.4330479288990893,4339.0,51579.43505888549,4542.967359057226,0.08807710580526448,46.0,33.0,59.0,-0.39301377487581823,-0.2759436651490752
BullCaseBot,True,4338,54684,59949,18809,-0.3339111226200041,-0.43612473100495514,4338.0,49244.90323467115,4032.3248648195695,0.08188309043077963,47.0,35.0,59.0,-0.3943894747763349,-0.28503598084506443
TallulahAdamsEnhanced,True,28,422,427,89,-0.3416191570116631,-0.44851909476486734,28.0,6683.0,-2235.3992365000913,-0.33449038403413006,52.0,5.0,108.02499999999998,-0.7259259849100997,0.06831434637478158
CarbonMarketsBot,True,3009,42671,47504,14796,-0.34566229275850974,-0.4513646744571572,3009.0,41270.097783665005,2611.1651756891083,0.06327014753821654,50.0,34.0,64.02499999999998,-0.4197659691531689,-0.2791034935190605
StockpileSentinel,True,389,5636,6230,1712,-0.3493143840249854,-0.45689137572050137,389.0,5955.05914817471,1752.6117538417295,0.29430635535818717,51.0,22.0,80.02499999999998,-0.49675095080729675,-0.21185706043210636
GlobalEventsBot,True,3573,48035,54103,18103,-0.35142460129215836,-0.4587144669742475,3576.0,48839.22477789511,4697.065763361864,0.09617404421799464,52.0,37.0,64.0,-0.4177031341881585,-0.2862372084198723
EnergyTransitionBot,True,3503,48112,54101,15363,-0.35269884012715164,-0.46040019765751344,3503.0,49191.13908232736,3241.15882127076,0.06588907843435556,52.0,38.975,64.0,-0.4177056092600839,-0.2963800524698655
FxRatesBot,True,1022,13926,15536,3108,-0.35270653456529255,-0.46093134293791804,1022.0,38623.996894407814,4159.180317889195,0.10768384041816716,52.0,32.0,69.0,-0.439335653255759,-0.2718354278724374
ShippingLogisticsBot,True,2695,37752,42603,12279,-0.3558616822322833,-0.46440254730315633,2695.0,46398.115387564176,2381.4374088644154,0.051326166784409925,52.0,36.975,67.0,-0.4263093834666174,-0.28892864372421545
MiningCorpEventsBot,True,3029,42433,48181,16290,-0.3583802670509688,-0.46775219525438033,3029.0,44865.43015381971,2333.8726221483003,0.05201939698664856,53.0,40.0,65.0,-0.42103682224490363,-0.29878704986631266
CurtisSteele,True,35,359,371,32,-0.36554736744648797,-0.47817671479516666,35.0,144014.27920834097,493.62556494538256,0.0034276154257680924,64.0,3.0,127.0,-1.1288777063499726,0.24442001862843366
EquityTapeBot,True,259,1290,1506,436,-0.37307755829237377,-0.49173470663113683,259.0,4203.1166000773865,1004.8935541422815,0.23908295908892455,55.0,20.0,94.0,-0.5761189343285855,-0.17438680379672558
VoltsRobertsEnhanced,True,21,325,319,77,-0.3737582018617005,-0.4894783764597697,21.0,1032.0,77.66397144922853,0.07525578628801213,55.0,3.0,113.02499999999998,-0.7856700231871837,0.22696827636701
DefenseProcurementBot,True,3235,44545,51900,17359,-0.37407373251885595,-0.4879980088564035,3235.0,39398.934178975935,1527.4898790849197,0.038769827431017645,57.0,43.0,70.0,-0.4393541714789376,-0.30628534802045265
RickDisneck,True,3114,40513,48753,14020,-0.395765649424274,-0.5165432283547888,3114.0,28882.79060691071,3234.386474061715,0.11198317081202784,62.0,48.0,74.0,-0.46719016452100637,-0.3269651179935162
MacroLensBot,True,3621,46374,56117,18181,-0.3985175499035074,-0.5202270843594198,3621.0,57846.05264458559,4797.55629939996,0.0829366236772772,62.0,49.0,76.0,-0.46411572162353026,-0.3306016399329847
ThomasEvansGS,True,47,635,666,118,-0.40020577222713943,-0.5258272681502906,47.0,4300.640159917733,685.999088261221,0.15951092459554753,65.0,11.0,108.0,-0.726318514440065,-0.07727110202336315
BatteryMetalsBot,True,2399,33763,40549,8209,-0.40078337239925355,-0.5233358062507474,2399.0,105873.72584996163,5928.207910704976,0.055993192485792966,63.0,49.0,75.0,-0.469117774119201,-0.3381486991680997
Cottonfundamental1,True,32,83,99,41,-0.4123212542830227,-0.5433780888668589,32.0,3526.0,-600.9554746207218,-0.17043547209890011,68.0,53.75,81.25,-0.508399694426175,-0.3583697911489553
AdamGillard,True,36,578,637,164,-0.412754543674854,-0.5412326594185224,36.0,6141.609884891455,-698.8778540671217,-0.11379391839693077,66.0,22.0,113.0,-0.8005463828628555,-0.22367789977032454
VoltRushSandersonEnhanced,True,26,432,454,143,-0.4143041497960428,-0.5436656273136918,26.0,865.2942340323236,791.4111099280967,0.9146150278155362,63.0,9.975000000000001,111.02499999999998,-0.7657641383783933,-0.0632024811447199
ProcessChemBot,True,162,2376,2900,937,-0.41482355420844774,-0.5417664235992022,162.0,1475.0,-164.61343935364374,-0.1116023317651822,64.0,19.975,102.0,-0.6465686068431501,-0.19053471638466585
DiffusionMcBot,True,51,628,733,130,-0.41770145834891936,-0.5460634043182393,51.0,3734.0,261.81744236460196,0.07011715114210015,65.0,15.0,97.0,-0.624892233114599,-0.13699387369805105
BiopharmaMedtechBot,True,1450,20128,25082,5036,-0.4244056683886286,-0.553887628268216,1450.0,33091.723654840534,861.0005919693137,0.026018608185837722,67.0,51.0,84.0,-0.5105233669111042,-0.3426733549860759
VoltRushSanderson,True,26,430,465,134,-0.4337465888994445,-0.5687881239383462,26.0,1438.0,90.89487658728869,0.06320923267544415,65.0,5.0,120.0,-0.8702851786049614,0.05799845092161324
PowerMarketsBot,True,2408,31190,40689,11063,-0.4520327886272515,-0.5901204234530265,2408.0,42591.48650436441,1895.3558762881453,0.044500815347074715,72.0,59.0,86.0,-0.5298190938920264,-0.38559505236815417
CommoditySpotBot,True,78,866,1087,263,-0.4527849253691392,-0.5925274964482787,78.0,2130.0,311.5364830988907,0.1462612596708407,70.0,15.950000000000003,102.0,-0.6543341992636302,-0.12332940165929474
FatTailsBot,True,3810,45475,60058,17248,-0.4556861354994968,-0.5951990113940303,3810.0,40422.30113938811,6717.9378037293545,0.16619384880053978,73.0,62.0,85.0,-0.5202566198902894,-0.40887473221194964
RareEarthObserver,True,41,599,726,155,-0.4577651892421249,-0.602603480380661,41.0,1574.0,553.5576228172124,0.3516884515992455,74.0,10.0,120.0,-0.878531362521755,-0.07811783453103421
OilGasBot,True,1099,14785,19292,3717,-0.46242420187581496,-0.6045043389698475,1099.0,46937.21768585369,5497.905999781686,0.1171331892013422,74.0,61.0,89.0,-0.5419549380006896,-0.4045377307901848
JohnsonMattheyEnhanced,True,244,2669,3497,842,-0.4659660089424102,-0.6107528482783021,244.0,4356.325265096211,699.8405144567314,0.16064927935110812,74.0,46.975,98.0,-0.6118915874805049,-0.3411211986583433
RareEarthObserverEnhanced,True,41,596,733,151,-0.46760385991119713,-0.6160473741433342,41.0,1241.0,895.4266122610732,0.7215363515399461,75.0,13.975000000000001,119.0,-0.861186414310682,-0.09180040825252199
IntercalationEnhanced,True,34,544,630,104,-0.46868612375203567,-0.6166584661022995,34.0,1588.0,-113.71532954666364,-0.07160914958857911,77.0,22.0,111.0,-0.7584700589598407,-0.2071064388970232
JamesMcGeochEnhanced,True,153,2188,2649,575,-0.4705492172610986,-0.6183130583460809,153.0,26104.364282149465,-1705.909723033793,-0.06534959842712271,76.0,27.0,103.0,-0.6954971951918341,-0.26468152239822723
PerthDeltaBot,True,229,3293,4439,992,-0.4835668539113715,-0.6326658825010189,229.0,1909.9067624469765,274.7415864390149,0.1438507846775805,78.0,37.0,107.0,-0.6757916515467558,-0.3042529878956111
ChromeChaser,True,45,718,880,101,-0.49047666055008576,-0.6452545867307841,45.0,13846.861808172804,-236.3878545418205,-0.017071583281223896,81.0,18.0,119.0,-0.9122073205334685,-0.16258830690619433
FedPolicyBot,True,1065,12219,16673,2349,-0.4956016696002808,-0.6482119180077964,1065.0,47786.85202419478,4150.761131480975,0.08685989881441487,80.0,66.0,95.0,-0.5806474893909873,-0.4259748828340009
PairTradingBot,True,54,638,875,280,-0.498623635931034,-0.652397534981462,54.0,2283.0,321.8070299389401,0.14095796317956202,81.0,62.0,116.34999999999991,-0.8431770883549384,-0.4090267368374872
VoltLine,True,27,389,491,73,-0.5048466891615423,-0.6620614682658811,27.0,8975.0,1220.7165773680151,0.13601298912178442,82.0,12.975000000000001,125.0,-1.0279930572940088,-0.10550993961318947
SoftStaplesBot,True,188,1435,2074,440,-0.523518979649256,-0.6892481051176458,191.0,3360.2470390349013,300.295794952839,0.08936717790817164,84.0,53.0,109.0,-0.7165735629266231,-0.36705389989434195
JohnsonMatthey,True,216,2110,3042,708,-0.5244853189996862,-0.6875461780840808,216.0,3472.8594529574802,669.4385803846444,0.19276293482437126,85.0,30.975,113.0,-0.7738036325859865,-0.2840807513543212
Intercalation,True,34,520,654,104,-0.5252792613016793,-0.6917002559842904,34.0,2400.0,-142.3598055700393,-0.05931658565418304,86.0,23.0,116.0,-0.8342794893754082,-0.23270517607513758
BundPulse,True,24,304,396,76,-0.5263953377370735,-0.6920960715407933,24.0,11670.384252025291,-705.8442996120147,-0.060481667472904475,84.0,19.0,116.0,-0.8116196327945729,-0.16732078287833319
ConsensusCorrecterBot,True,2640,28611,41514,7723,-0.5271338850130741,-0.6899808797148499,2640.0,33461.095331189696,2566.5381895470387,0.07670215706162857,85.0,71.0,98.0,-0.600777124072259,-0.4546361562363708
LightMetalsBot,True,388,4661,6900,2119,-0.5294138619899794,-0.6906553791199577,388.0,3257.0,-331.25869306644586,-0.10170669114720475,86.0,64.0,104.0,-0.6782458692734015,-0.41833153591690136
CraigTindale,True,40,507,648,214,-0.5367813360441387,-0.7081046259788955,40.0,1145.0,1921.7811060201152,1.6784114463057775,86.0,9.0,124.0,-0.9846736460508313,-0.06348544322817493
VinceBeiserEnhanced,True,69,1071,1381,253,-0.540344108131439,-0.7125504595756584,69.0,3830.546224828412,2692.31486947733,0.7028540347657418,88.0,38.975,114.0,-0.7867938963050657,-0.31457522088332573
AdamGillardEnhanced,True,30,428,569,140,-0.5404812622657074,-0.7084469534677597,30.0,3494.046661459777,134.04711214727476,0.03836443102659403,89.0,41.95,124.0,-0.994968186342797,-0.31648766393748534
RobbieDwyer,True,50,620,786,193,-0.5405189057945846,-0.7110521260877576,50.0,8573.35163643882,412.0276518303317,0.048059110287639956,88.0,26.0,121.0,-0.9143465438361718,-0.250632091599196
JamesMcGeoch,True,153,2064,2782,577,-0.5410200397944,-0.7129760908425735,153.0,39766.66585196025,-12865.855656740554,-0.32353367779527703,88.0,51.95,110.0,-0.7447490134108874,-0.3586847914474647
ErbiumEdge,True,42,684,898,92,-0.5458491207186082,-0.7189276097113835,42.0,15205.269527299963,993.4500175179888,0.06533590317056341,89.0,45.0,114.02499999999998,-0.8146104331132428,-0.3286662192458099
WilliamManual,True,48,298,458,178,-0.5543056263028224,-0.7276665543708281,48.0,17387.3496255923,314.6900402193608,0.01809879291529119,83.0,6.0,126.0,-1.0586610619627232,0.05284631325784551
RheniumRocket,True,32,547,740,89,-0.560961121069305,-0.7386273601816835,32.0,13872.956979019102,-1499.5015460884738,-0.10808809890755512,91.0,22.0,118.0,-0.8608778239913297,-0.20484411569852787
VoltsRoberts,True,23,297,393,99,-0.5664398742475976,-0.7480126716758955,23.0,1456.60988489146,83.78120489826973,0.05751794338846789,88.0,9.0,125.0,-1.003044240971867,-0.07612378079282953
SeleniumSeer,True,47,752,1017,102,-0.569592939365631,-0.7500649733593803,47.0,17070.24539307967,-161.59274879426937,-0.009466340118331256,92.0,43.975,116.0,-0.8574831419949918,-0.3347466673722025
AviralPoddar,True,230,2144,3324,792,-0.5874788879457318,-0.7687698594820231,230.0,6747.0,4685.6956031938835,0.6944857867487599,94.0,45.0,123.0,-0.9459196973409191,-0.33940016925341715
PeterBoockvarEnhanced,True,85,911,1326,386,-0.5982858375886411,-0.7911772540413159,85.0,9084.830040066294,-3437.250410342475,-0.37835054648060235,96.0,48.975,118.02499999999998,-0.8557575148436333,-0.35397134510120104
DysprosiumDuke,True,40,597,869,71,-0.6008901172940337,-0.7882971521787149,40.0,17001.962311319854,812.8021098143854,0.04780637051955022,97.0,49.925000000000004,121.0,-0.9260591751624273,-0.34894749113913504
VinceBeiser,True,69,1016,1447,242,-0.6102421117753781,-0.803110673497961,69.0,6253.304942445735,1106.6394844518738,0.17696873807325558,96.0,53.0,119.0,-0.8687624145224928,-0.3630451914266945
ReefAssay,True,33,453,664,100,-0.6106490306927987,-0.8031976343461185,33.0,14414.97774302271,-1395.1368004492192,-0.09678383312971178,98.0,30.0,123.0,-0.9892872946345806,-0.27222518868630735
RobbieDwyerEnhanced,True,50,578,834,187,-0.6195266073461981,-0.8200961411002394,50.0,5076.352535810896,860.6111892229123,0.16953337719391437,99.5,48.0,124.0,-0.973413313852724,-0.3568167941294135
stephen_dattelsEnhanced,True,114,1171,1735,391,-0.6309051308740271,-0.8303023044857193,114.0,12506.54212527915,-939.4648621539827,-0.07511787452864903,100.0,68.0,119.0,-0.853847770931716,-0.4319516294306569
YtterbiumYogi,True,41,634,933,105,-0.6381461670950533,-0.8375117236411818,41.0,15800.962311319863,-1337.7501153652229,-0.08466257238059825,104.0,33.95,126.0,-1.197597520781939,-0.2967828233440731
IndiumInsight,True,37,540,814,96,-0.6484367811858325,-0.8516500250422586,37.0,15386.256778116747,-221.10359217306254,-0.014370200326276191,102.0,77.0,120.0,-0.849706944893873,-0.4853824195466776
TelluriumTraps,True,44,691,1035,87,-0.6487752710403525,-0.8562570788090699,44.0,14843.875158602066,-536.2539766436082,-0.03612627908237611,103.0,74.0,121.0,-0.9621435302732616,-0.46259101688200666
PeterBoockvar,True,86,865,1374,391,-0.6522992920878372,-0.8627307533390067,86.0,12990.869592621206,-6163.078934392652,-0.47441619596376144,103.0,66.975,122.0,-0.9088770814829267,-0.4289023783053234
BismuthBaron,True,37,511,808,115,-0.6535959976540976,-0.858864905969413,37.0,11792.778258575556,-413.75058326907003,-0.0350850812418351,102.0,44.0,126.0,-1.1597783475267025,-0.33388335432396865
Cftcsofts1,True,31,57,111,42,-0.6656271020508102,-0.8898767446190509,31.0,2947.0,-851.3278299204923,-0.2888794808009814,106.0,94.75,117.0,-0.7628288662263285,-0.6172907970013313
PeterManual,True,194,1835,3315,1091,-0.6667877607782533,-0.8742187987824801,194.0,9468.884837493906,1732.703770069761,0.18298921148652908,104.0,82.0,119.0,-0.8427613901254939,-0.523202227565486
TerbiumTide,True,40,592,951,148,-0.6839053050625298,-0.8921189632757032,40.0,12941.924622639714,-1477.2821400619284,-0.11414702087490701,106.0,29.0,125.0,-0.9836705772935275,-0.2739619032507064
CraigTindaleEnhanced,True,39,421,683,212,-0.6870933861649432,-0.9010774190406468,39.0,748.0,91.6089243357774,0.12247182397831204,105.0,33.975,126.0,-1.0562221725991106,-0.2965331215115688
stephen_dattels,True,114,1106,1811,380,-0.7023881494921299,-0.9177003431158033,114.0,21494.029971892673,-7707.850975600711,-0.3586042722411813,108.0,82.0,122.0,-0.9032715844537754,-0.5104001216630508
JohnMeyerSPAngelEnhanced,True,118,1387,2324,399,-0.7152091821772922,-0.9372291301852071,118.0,31875.167028729702,2494.048873557773,0.07824426053390837,109.0,87.0,121.0,-0.9295098233365509,-0.5501978902471294
michael_crandall,True,45,408,714,247,-0.7458446206387919,-0.9767209100313661,45.0,3547.1874671245287,-1726.8660919780082,-0.48682684746229804,112.0,65.975,126.0,-1.0954294006134124,-0.4233459901870844
michael_crandallEnhanced,True,45,405,713,251,-0.7480499629589069,-0.9797526017452484,45.0,2149.0,-323.39279714349414,-0.15048524762377577,112.0,65.975,127.0,-1.1096438980037193,-0.4241185138752682
HafniumHawk,True,32,455,779,63,-0.7491637245511042,-0.975842416558962,32.0,11055.874244487128,29.47107421797986,0.00266564846580769,112.0,79.0,127.0,-1.0656087890361858,-0.5010234967931061
MolyMiner,True,43,540,976,144,-0.7636652645294657,-0.9952816799261137,43.0,16992.487074652752,1716.9138092357541,0.10103958306355457,114.0,71.0,127.0,-1.1305600232485764,-0.4436878522461586
MineralImperativeEnhanced,True,86,947,1748,375,-0.7757678177953291,-1.0168541947158307,86.0,8513.0,-3024.944486147761,-0.35533237238902393,114.0,94.0,124.0,-1.0057622300969826,-0.5813402829303638
JohnMeyerSPAngel,True,119,1267,2466,407,-0.8135089075627117,-1.0669190221273028,119.0,48917.78564292793,-9684.384619299,-0.1979726696950167,117.0,101.0,125.0,-0.9992605420274935,-0.6629619725691771
MineralImperative,True,86,899,1794,377,-0.8239137479043076,-1.0824285745902482,86.0,13854.531697491735,-6037.642305162166,-0.4357882631467968,118.0,101.0,126.0,-1.0508804818546615,-0.6392649395691978
VanadiumVault,True,33,414,799,96,-0.8273305752170319,-1.0834320914669413,34.0,12196.866901642668,-101.97197270751958,-0.008360505491273833,118.0,93.0,127.0,-1.1474450918458645,-0.5923823153594074
YttriumYield,True,48,535,1139,146,-0.875462923803045,-1.1560574078083579,50.0,17363.252939499234,-3383.698265353217,-0.19487697824499955,122.0,105.0,129.0,-1.2838291757106812,-0.6771324206222379
Bot007,True,42,244,606,125,-0.899970412269576,-1.1901018186563417,42.0,1924.0,-351.47246083488596,-0.18267799419692618,122.0,93.9,130.0,-1.4898959661532007,-0.5996803031405146
MagnetMogul,True,33,329,753,90,-0.9039162941748617,-1.1948154632472927,33.0,12375.785700807379,-1075.9139221862883,-0.08693701945049818,122.0,86.975,129.0,-1.4020113773424467,-0.537727700859424
LadderArbBot,True,98,706,2204,386,-1.0331014034894461,-1.3750727825576519,98.0,1577.0,-25.038234467191963,-0.01587713028991247,125.0,108.0,130.0,-1.36976761877714,-0.7420616894350428
MekongMemo,True,24,190,651,142,-1.1498067675022863,-1.5271934679167145,24.0,1870.0,-1231.6686022820452,-0.6586463113807728,127.0,101.0,130.0,-1.6569911350222861,-0.6456291173927535
MekongMemoEnhanced,True,24,184,657,142,-1.1730514984268843,-1.5584420351257535,24.0,1520.0,-1097.5792141769687,-0.7220915882743215,128.0,105.0,130.0,-1.676754086151206,-0.6771725352444191
MikhailTal,True,108,849,3022,317,-1.1863055346417908,-1.5806213785017484,108.0,115317.12713386094,-96782.51447401675,-0.8392726811661803,128.0,122.0,130.0,-1.57738109022257,-0.9017059684968637
GrindWatch,False,7,62,13,29,0.5115403818059217,0.7125868025365035,7.0,182.0,-28.316102581577468,-0.15558298121745862,,,,,
fundbotquant,False,6,173,59,8,0.4957555352548868,0.6645284883709129,6.0,60.0,146.86297442033435,2.447716240338906,,,,,
SterlingSight,False,4,80,42,4,0.18008177336640185,0.23819547920387096,4.0,225.0,39.043041180896736,0.17352462747065217,,,,,
PrivateFundingBot,False,19,283,180,21,0.05065143486543422,0.06593405562092669,19.0,451.17675792684975,-36.74334052992919,-0.08143890367660843,,,,,
EJFreni,False,1,21,12,11,0.03230786446477896,0.04462825846975105,1.0,10.0,0.7665910601551644,0.07665910601551644,,,,,
OnMyanmar,False,5,106,63,9,-0.011624296135883672,-0.01866756284255866,5.0,97.0,50.84594079127378,0.5241849566110699,,,,,
