bot,rated,n_races,wins,losses,ties,theta_lattice,theta_bt,n_markets,invested,realized,ret_per_mana,rank_median,rank_lo95,rank_hi95,theta_lo95,theta_hi95
KelvinWaveTrader,True,57,240,77,88,0.3819864542009771,0.5123875944233712,57.0,1021.2639230274086,378.0628937084424,0.3701911770149703,1.0,1.0,5.0,0.018981160403065737,5.5125203512117285
BiosecurityBot,True,56,162,72,24,0.2604424743707765,0.3691465950846846,60.0,1849.6841504307274,915.1950747474643,0.49478451471530804,3.0,1.0,18.024999999999977,-0.16438015487797772,0.8866284600301289
FastmarketsSpotBot,True,30,627,374,71,0.08685255819793192,0.12261252924338684,30.0,1049.789190096328,1199.1673241229137,1.1422934579969135,4.0,1.0,52.049999999999955,-0.37764061023388196,0.4872190759336992
ChrisManual,True,24,465,286,62,0.021633508082862796,0.031322408846685135,24.0,882.4825465870454,390.5669415257913,0.44257752522844596,5.0,1.0,38.0,-0.3051747544283447,0.5820419821111478
MultiLensBot,True,4937,79024,53325,10421,0.0,0.0,4937.0,129927.46189092215,14038.15222168142,0.10804607445858408,6.0,3.0,10.0,-0.06266710107668529,0.05477501214831754
CottonTextBot,True,69,236,158,80,-0.0013630082017497824,0.003306219821764489,69.0,946.3509546208022,256.3554238854563,0.27088832386519496,5.0,1.0,65.04999999999995,-0.42368142360952016,1.4031680966256028
SupplyChainGPT,True,4111,69912,49620,9080,-0.03361348251681073,-0.044378873262497676,4111.0,118300.24785817217,9460.367229387943,0.07996912433125068,8.0,4.0,12.0,-0.1006070272057846,0.021276034870584853
TemporalBot,True,4480,71929,52387,12659,-0.05610129607668668,-0.07410672776127925,4480.0,122951.57317269807,10788.639216203119,0.08774706120310775,9.0,5.0,15.0,-0.12691427493305515,0.004426169721802849
BearCaseBot,True,4504,72637,54899,10033,-0.07768131543810919,-0.10234245105482576,4504.0,117897.62885046512,10617.368424780057,0.09005582663792625,11.0,7.0,16.024999999999977,-0.14531927912200027,-0.02484194198260376
CalibrationBot,True,4562,72545,55486,9879,-0.08529243059269459,-0.11246254702657921,4562.0,129055.20294016616,7678.492219654028,0.059497734649365565,12.0,7.0,17.0,-0.15384430518731504,-0.027504458190576928
SkepticalClaude,True,4380,71488,55160,8595,-0.08971212805978995,-0.11817081072013358,4380.0,142341.0551821215,7236.628509120565,0.05084006508074214,12.0,8.0,18.0,-0.1580726006348861,-0.03503351522871665
BaseRateBot,True,4707,70990,56216,11942,-0.1117855852423647,-0.1469303416321729,4707.0,122058.39809969798,8093.556170015314,0.06630888407534606,15.0,10.0,20.0,-0.1730448804919539,-0.06333867552964258
HarmattanTrader,True,20,119,100,23,-0.11780590674801278,-0.14889272189330532,20.0,579.6150913696831,99.22979660994991,0.17119947028201232,13.0,1.0,128.0,-1.171440955807135,0.5366003036081712
SmmSpotBot,True,43,774,597,309,-0.12615176518399085,-0.1642896960023273,43.0,2165.3446482874383,262.611900391738,0.1212794926661844,16.0,4.0,47.0,-0.3393763586462239,0.08648033048802146
UncertaintyBot,True,4358,68826,55881,10404,-0.12710857162895167,-0.16725428924339897,4358.0,115908.9726346373,12901.184612432095,0.11130445140859448,16.0,11.975000000000001,21.0,-0.19262904632841593,-0.07584004378529227
