window,n,mean_d_logloss,mean_d_brier,mean_ll_bt,mean_ll_lat,lambda
2023-07-31,2561,-1.0615491610533456e-05,-8.487614295912649e-06,0.6215451768737854,0.621555792365396,1.0
2023-08-31,5679,-0.0001780020290953081,-8.26549160497016e-05,0.6485795139674985,0.6487575159965938,1.0
2023-09-30,6731,-4.693291808693235e-05,-2.4545509924244942e-05,0.6640035371954459,0.6640504701135329,1.0
2023-10-31,11864,-3.57087524499485e-05,-1.8248014539050464e-05,0.6703636515832492,0.6703993603356991,1.0
2023-11-30,29422,-0.002187083598369579,-0.001053251311014403,0.6448919981107907,0.6470790817091603,1.0
2023-12-31,25663,-6.037045853093431e-05,-3.051936037516597e-05,0.6331958339740107,0.6332562044325417,1.0
2024-01-31,19747,-4.3507548943734194e-05,-2.5949769448573425e-05,0.6413844344850829,0.6414279420340266,1.0
2024-02-29,36104,-0.00013017093507978192,-6.58779050712028e-05,0.6321815296660455,0.6323117006011253,1.0
2024-03-31,48760,-5.426086866285779e-05,-2.9487095385222064e-05,0.6370689200654487,0.6371231809341116,1.0
2024-04-30,107447,-4.750403670181467e-05,-2.5869404699387167e-05,0.6418969223903322,0.6419444264270342,1.0
2024-05-31,89995,-6.652802514345605e-05,-3.853953905925746e-05,0.6407922386895432,0.6408587667146866,1.0
2024-06-30,65692,-2.8908425610767297e-05,-1.690266948890326e-05,0.6574037015234093,0.6574326099490201,1.0
2024-07-31,34934,-1.4285872670975208e-05,-1.0173947627196447e-05,0.6502720237669223,0.6502863096395932,1.0
2023-07-31,2561,0.0008875714685853608,0.0003815161141557504,0.6224433638339812,0.621555792365396,10.0
2023-08-31,5679,0.0004829680054220911,0.00018994101139310584,0.6492404840020158,0.6487575159965938,10.0
2023-09-30,6731,-2.9002632410279012e-05,-1.9566114884688438e-05,0.6640214674811226,0.6640504701135329,10.0
2023-10-31,11864,2.0495169129088616e-05,4.691955623750987e-06,0.6704198555048283,0.6703993603356991,10.0
2023-11-30,29422,-0.0020398690139040057,-0.0009812286377818683,0.6450392126952562,0.6470790817091603,10.0
2023-12-31,25663,0.00013556018593220744,5.804940945956126e-05,0.633391764618474,0.6332562044325417,10.0
2024-01-31,19747,0.00010740868342821971,3.5972224024701046e-05,0.6415353507174548,0.6414279420340266,10.0
2024-02-29,36104,2.683934803435188e-05,-1.3724269895221504e-06,0.6323385399491597,0.6323117006011253,10.0
2024-03-31,48760,3.1192918208250346e-06,-5.411382438516442e-06,0.6371263002259323,0.6371231809341116,10.0
2024-04-30,107447,-1.7095816621715062e-05,-1.2846860382394956e-05,0.6419273306104125,0.6419444264270342,10.0
2024-05-31,89995,2.4156039323781282e-05,-4.995176816374021e-06,0.6408829227540104,0.6408587667146866,10.0
2024-06-30,65692,8.067192157161176e-06,1.582384255116396e-08,0.6574406771411772,0.6574326099490201,10.0
2024-07-31,34934,8.75375473442354e-05,3.634952945974786e-05,0.6503738471869374,0.6502863096395932,10.0
