unit,nll,fitted_unit
0.1,1743460.7171475259,0.8001817614491648
0.12711402123597132,1684098.5107713982,0.8001817614491648
0.16157974394778968,1627021.6101049744,0.8001817614491648
0.20539051003482145,1572935.1041499581,0.8001817614491648
0.26108013654233275,1522678.6843495625,0.8001817614491648
0.33186946020732366,1477577.602013123,0.8001817614491648
0.4218526161236408,1439177.6690840723,0.8001817614491648
0.5362338240439053,1409627.1340868063,0.8001817614491648
0.6816283769696309,1391888.6240214792,0.8001817614491648
0.8001817614491648,1388462.5763131238,0.8001817614491648
0.8664452398515832,1389788.637469929,0.8001817614491648
1.1013733861830037,1408547.0633964897,0.8001817614491648
1.4,1457300.084895081,0.8001817614491648
