window,unit_main,unit_bothbad,at_ceiling,ll_dec_dav_main,ll_dec_lat_main,ll_dec_dav_bb,ll_dec_lat_bb,lat_degradation,dav_degradation
2023-07-31,0.5939218783669488,1.4,True,0.6203850331870683,0.6200214468565913,0.6236064943790378,0.6247751574427172,0.004753710586125837,0.0032214611919695324
2023-08-31,0.6059170612862647,1.4,True,0.650682545982245,0.6504487898935513,0.6538998651498827,0.6537654720604511,0.0033166821668998425,0.003217319167637789
2023-09-30,0.608055416365741,1.4,True,0.6668628681373384,0.6666655911910595,0.6691607875745663,0.6701868242875952,0.0035212330965357364,0.002297919437227902
2023-10-31,0.608055416365741,1.4,True,0.6697530925797769,0.6696158245983288,0.6705429411935833,0.6716378856243523,0.002022061026023536,0.0007898486138063765
2023-11-30,0.6443358440122643,1.2213523153151091,False,0.6398860064372219,0.639392991662293,0.6407107061162406,0.6411040618060704,0.0017110701437773601,0.0008246996790186589
2023-12-31,0.6851521446052636,1.4,True,0.6261726811993694,0.6265365231872931,0.6260538192589461,0.6267542603406747,0.00021773715338158084,-0.00011886194042332043
2024-01-31,0.6966482606372624,1.2264452818870777,False,0.6377538096279501,0.6379939003276753,0.638015499286526,0.6379589807538145,-3.4919573860814346e-05,0.0002616896585758699
2024-02-29,0.7097650409494625,1.4,True,0.6279680191677602,0.6285053024057742,0.6267749710992842,0.6281379176151317,-0.00036738479064246654,-0.001193048068476088
2024-03-31,0.723970110489407,1.4,True,0.6327396172558845,0.6327197560331858,0.6329339762115307,0.6336936392298902,0.0009738831967044392,0.0001943589556462344
2024-04-30,0.7473381154916766,1.4,True,0.638082303358888,0.6380876558811172,0.6382125913320033,0.638669442893551,0.000581787012433832,0.00013028797311520623
2024-05-31,0.7848552557819245,1.4,True,0.6347543365714708,0.6345905458857598,0.6345849931058039,0.6348840245126074,0.0002934786268475875,-0.00016934346566699343
2024-06-30,0.7958747748107974,1.4,True,0.6531832453414589,0.6532162687518381,0.6531894145698189,0.6532762740725824,6.000532074423859e-05,6.169228360053403e-06
2024-07-31,0.8029184782425066,1.4,True,0.6452036095619514,0.6452157482623919,0.6450936353975055,0.6455262801955951,0.0003105319332031842,-0.00010997416444591401
