window,nu_hat,unit_hat,dav_halfwidth,lat_halfwidth
wk01,0.4554490365405425,0.6756211218357423,2.88,1.68
wk02,0.4680012190473745,0.6909094193897786,2.886,1.682
wk03,0.46726553582763886,0.689196900950711,2.886,1.682
wk04,0.4744009218907008,0.6989051888769713,2.89,1.682
wk05,0.4745459777798109,0.6992852370257462,2.89,1.682
wk06,0.4702122210822238,0.6928625489248238,2.888,1.682
wk07,0.47136758328079675,0.6940313364075008,2.888,1.682
wk08,0.47561561061663243,0.6996895718025876,2.89,1.682
wk09,0.47117254423793703,0.6935144098174311,2.888,1.682
wk10,0.46971838776223596,0.6915323312271897,2.888,1.682
wk11,0.46989726768535595,0.6918766777858122,2.888,1.682
wk12,0.4690457211917851,0.6906962330203458,2.886,1.682
