window,n,mean_d_logloss,mean_d_brier,mean_ll_bt,mean_ll_lat,var_per_vote,bin
2023-07-31,1450,-0.0004687652071595065,-0.0002165102367961066,0.6252488791480586,0.6257176443552181,2.658537714797566e-05,moderate
2023-08-31,2743,0.000397119399474932,0.00015504240282552265,0.6411959916326538,0.6407988722331789,4.187401056144826e-05,high
2023-09-30,1745,-0.00017494905747257835,-8.067789997457829e-05,0.673890185345105,0.6740651344025776,1.1151592923089652e-05,high
2023-10-31,3588,-9.450474932141728e-05,-4.523745549850514e-05,0.6759762297680204,0.676070734517342,5.413209964227946e-06,moderate
2023-11-30,21862,-0.00020541263120211966,-0.00010107418289824901,0.6398004704339938,0.6400058830651959,2.185789244262344e-05,low
2023-12-31,7735,-0.00027046635028945583,-0.00012957959904918398,0.6523727409166987,0.652643207266988,1.1937817228317864e-05,low
2024-01-31,6694,5.917616875164433e-06,-8.21762797140654e-06,0.6245793840178484,0.6245734664009732,2.2988054824419622e-05,moderate
2024-02-29,24970,-0.00017633153767599967,-9.641134679225444e-05,0.6296110841190408,0.6297874156567167,2.048273078678566e-05,moderate
2024-03-31,36406,-6.299998113394279e-05,-4.259251802363836e-05,0.6372156545513638,0.6372786545324977,1.8528822328780048e-05,low
2024-04-30,89905,-7.719777917567626e-05,-4.821897964282119e-05,0.6412274489712211,0.6413046467503968,1.4656255914599006e-05,low
2024-05-31,71836,-3.8377172467492804e-05,-3.229677591004054e-05,0.639091042193786,0.6391294193662534,1.6182209948043693e-05,low
2024-06-30,32424,-9.871840732617443e-05,-5.0022216314774385e-05,0.6648954411420215,0.6649941595493475,4.758317663785014e-06,low
2024-07-31,28063,-6.179181102262028e-05,-3.708935792482662e-05,0.6507459921071455,0.6508077839181681,7.124295649957987e-06,moderate
