target,covariate,spearman,p_descriptive,n
tau_bt,n_entrants,0.14958965297274282,0.625714460215964,13
tau_bt,entrant_vote_share,-0.11538461538461539,0.7073898735142603,13
tau_lat01,n_entrants,0.14127911669647933,0.6452407249085016,13
tau_lat01,entrant_vote_share,-0.15384615384615383,0.6157988686488813,13
d_tau_lat01_bt,n_entrants,-0.028495695765271993,0.9263742114154068,13
d_tau_lat01_bt,entrant_vote_share,-0.13564735326100572,0.6585939789464211,13
d_mag_lat01_bt_elo,n_entrants,0.28255823339295866,0.34959019097723965,13
d_mag_lat01_bt_elo,entrant_vote_share,0.3681318681318681,0.21585718064938142,13
