window,n,mean_d_logloss,mean_d_brier,mean_ll_bt,mean_ll_lat,var_per_vote,bin
2023-07-31,2561,-0.00010383371317780072,-4.8808849647214934e-05,0.6214519586522181,0.621555792365396,1.388230431972226e-05,moderate
2023-08-31,5679,-0.00025337917659532964,-0.00011293090776012811,0.6485041368199984,0.6487575159965938,1.579009430834911e-05,high
2023-09-30,6731,-4.6282428975898276e-05,-2.385532935026537e-05,0.664004187684557,0.6640504701135329,6.189199921277843e-06,high
2023-10-31,11864,-4.1157481505504724e-05,-2.0400713194589558e-05,0.6703582028541937,0.6703993603356991,4.49655961675199e-06,moderate
2023-11-30,29422,6.758522053414864e-06,2.3695578512164087e-06,0.6470858402312136,0.6470790817091603,1.546203729210058e-05,low
2023-12-31,25663,-8.188596775546049e-05,-4.022259539567525e-05,0.6331743184647862,0.6332562044325417,4.821225069619006e-06,low
2024-01-31,19747,-5.978085843485857e-05,-3.2570860193782376e-05,0.6413681611755917,0.6414279420340266,4.712293092370709e-06,moderate
2024-02-29,36104,-0.0001464884239570889,-7.249291429052096e-05,0.6321652121771684,0.6323117006011253,6.2004945150620925e-06,moderate
2024-03-31,48760,-6.050662693244247e-05,-3.20982442292038e-05,0.6370626743071791,0.6371231809341116,4.473918810748999e-06,low
2024-04-30,107447,-5.081857848433032e-05,-2.7287238318633997e-05,0.6418936078485499,0.6419444264270342,4.023407019961346e-06,low
2024-05-31,89995,-1.3784089752472018e-05,-1.1039734738582064e-05,0.6408449826249341,0.6408587667146866,3.921692226424027e-06,low
2024-06-30,65692,-3.298108019630257e-05,-1.8762465878104026e-05,0.6573996288688237,0.6574326099490201,2.9215945663571308e-06,low
2024-07-31,34934,-2.3354438393008138e-05,-1.4218161581904463e-05,0.6502629552012003,0.6502863096395932,3.2729157017506407e-06,moderate
