window,n,mean_d_logloss,mean_ll_dav,mean_ll_lat,variant
2023-07-31,3118,0.0015876443239245899,0.9802894113862626,0.9787017670623381,main_tie_only
2023-08-31,6780,0.0006571745678970841,0.9876365714170927,0.9869793968491958,main_tie_only
2023-09-30,8165,0.0004622255356373097,1.014441381109098,1.0139791555734605,main_tie_only
2023-10-31,14383,0.00020172182818159573,1.0163647075930653,1.0161629857648835,main_tie_only
2023-11-30,36825,0.002866319466223447,1.0179124659432144,1.015046146476991,main_tie_only
2023-12-31,31999,-0.00023201387548563133,1.000201295883879,1.0004333097593647,main_tie_only
2024-01-31,24567,1.4564096524563268e-05,1.007441805880172,1.0074272417836476,main_tie_only
2024-02-29,45079,0.00041171842847115454,0.999892864135765,0.9994811457072938,main_tie_only
2024-03-31,61311,9.455765445270082e-05,1.009805889136507,1.0097113314820543,main_tie_only
2024-04-30,137372,-9.769273519996361e-05,1.0235137878552973,1.0236114805904972,main_tie_only
2024-05-31,114381,0.00016838309157499905,1.0165352327386334,1.0163668496470584,main_tie_only
2024-06-30,84860,-3.38147528959895e-05,1.0398108452729677,1.0398446600258637,main_tie_only
2024-07-31,44789,0.00027477471070349473,1.0288902521838663,1.0286154774731628,main_tie_only
2023-07-31,3647,-0.0023556068497097996,1.0443124475671999,1.0466680544169096,robustness_bothbad
2023-08-31,8004,-0.0034777622310381722,1.0674691646587846,1.0709469268898226,robustness_bothbad
2023-09-30,9734,-0.004874602480964762,1.0796064185043994,1.0844810209853641,robustness_bothbad
2023-10-31,17176,-0.007113959859064911,1.0817034997454296,1.0888174596044944,robustness_bothbad
2023-11-30,43693,0.00014739845533679981,1.0621123030347852,1.0619649045794484,robustness_bothbad
2023-12-31,37259,-0.0032636884870554488,1.0493895360676848,1.0526532245547402,robustness_bothbad
2024-01-31,29701,0.0007159448161985125,1.0598616976287651,1.0591457528125665,robustness_bothbad
2024-02-29,54259,-0.00014558777620273907,1.0518919717554638,1.0520375595316664,robustness_bothbad
2024-03-31,73916,5.802769851891757e-06,1.0576235794776696,1.0576177767078176,robustness_bothbad
2024-04-30,166543,0.0001392079308600425,1.0619079286396573,1.0617687207087974,robustness_bothbad
2024-05-31,143331,0.0019198466084879445,1.0601596543811254,1.0582398077726374,robustness_bothbad
2024-06-30,103953,0.0013514025428912027,1.071718892219361,1.0703674896764699,robustness_bothbad
2024-07-31,56708,0.0022445177019475107,1.067149265366642,1.0649047476646942,robustness_bothbad
