T,T_plus,delta,incumbents,method,n_inc,kendall,spearman,max_rank_move,frac_move_gt5,max_abs_dtheta_anch,mean_abs_dtheta_anch,p95_abs_dtheta_anch,max_abs_dtheta_med,mean_abs_dtheta_med,p95_abs_dtheta_med
2023-07-31,2023-08-31,1,votes>=1000,bt,24,0.9710144927536233,0.994782608695652,2.0,0.0,0.1308009852072325,0.09129911609282874,0.1253117161993858,0.04116587881503447,0.007639110251362015,0.038048121809212486
2023-07-31,2023-08-31,1,votes>=1000,lattice_u0.1,24,0.9710144927536233,0.994782608695652,2.0,0.0,0.12411027282865583,0.08625142117045086,0.11889867007922515,0.0396135288392967,0.007348867727636835,0.03649780807926237
2023-07-31,2023-08-31,1,votes>=1000,lattice_u0.5855,24,0.9782608695652174,0.9965217391304346,2.0,0.0,0.13358262870824633,0.0946152908071783,0.12740640022477268,0.04022421863514347,0.0075601186548296395,0.03645300345238036
2023-07-31,2023-08-31,1,votes>=1000,lattice_u0.8,24,0.9710144927536233,0.994782608695652,2.0,0.0,0.12703190009426757,0.0888585465457609,0.12085489723076695,0.04032560606083957,0.0073755232258280075,0.036267911754191445
2023-07-31,2023-08-31,1,all,bt,27,0.9772079772079774,0.9963369963369964,2.0,0.0,0.13807500766358904,0.08637872720549002,0.13072896596393177,0.08960413684153179,0.01511281295855768,0.07518386857596313
2023-07-31,2023-08-31,1,all,lattice_u0.1,27,0.9772079772079774,0.9963369963369964,2.0,0.0,0.12957912724816678,0.08147741007887871,0.12404332134972339,0.08476185315143756,0.014470881698625496,0.07266774471872985
2023-07-31,2023-08-31,1,all,lattice_u0.5855,27,0.982905982905983,0.9975579975579975,2.0,0.0,0.13810506568084113,0.08927202308999072,0.1332025878152717,0.09335624777771145,0.015238206770290186,0.07774321395169666
2023-07-31,2023-08-31,1,all,lattice_u0.8,27,0.9772079772079774,0.9963369963369964,2.0,0.0,0.14104968736058687,0.08456944397252186,0.1266770322827652,0.08660667526464083,0.01462773100910586,0.07015344835456319
2023-07-31,2023-10-31,3,votes>=1000,bt,24,0.9565217391304348,0.9930434782608695,2.0,0.0,0.3732338004239265,0.18425936971403503,0.28176589488282333,0.19495756040693657,0.025094136206435105,0.13045093781288278
2023-07-31,2023-10-31,3,votes>=1000,lattice_u0.1,24,0.9565217391304348,0.9930434782608695,2.0,0.0,0.35941630125837176,0.1760165638514375,0.27080876855881214,0.19032302815841695,0.023735833012452707,0.12133473251179584
2023-07-31,2023-10-31,3,votes>=1000,lattice_u0.5855,24,0.9565217391304348,0.9930434782608695,2.0,0.0,0.370083368260255,0.1811888545493022,0.2758121402945469,0.19595008805151892,0.023910845507251862,0.11734674229229182
2023-07-31,2023-10-31,3,votes>=1000,lattice_u0.8,24,0.9565217391304348,0.9930434782608695,2.0,0.0,0.3493778704473075,0.1718163526000754,0.26321151805331916,0.18273259281756793,0.024002849150240677,0.12731208503215685
2023-07-31,2023-10-31,3,all,bt,27,0.9430199430199432,0.9902319902319903,3.0,0.0,0.3732338004239265,0.1772242444514018,0.3330061856221751,0.19522523453846474,0.042336946736700416,0.1875834831659301
2023-07-31,2023-10-31,3,all,lattice_u0.1,27,0.9487179487179488,0.9908424908424908,3.0,0.0,0.35941630125837176,0.1694536760516508,0.3186222334950015,0.19059153807193452,0.04034579542390273,0.18102876196502254
2023-07-31,2023-10-31,3,all,lattice_u0.5855,27,0.9430199430199432,0.9902319902319903,3.0,0.0,0.370083368260255,0.17435847644273433,0.3265396333226921,0.19604147009273964,0.04100179796711611,0.18572686897904564
2023-07-31,2023-10-31,3,all,lattice_u0.8,27,0.9430199430199432,0.9902319902319903,3.0,0.0,0.3493778704473075,0.16532316165538907,0.31131292826854795,0.18334187892355758,0.04008286197863784,0.17575930761329112
2023-08-31,2023-09-30,1,votes>=1000,bt,28,0.9894179894179893,0.9983579638752054,2.0,0.0,0.17192955888654549,0.05788233945568683,0.10909388028449335,0.11619623294737014,0.019560631518015032,0.08589484722367821
2023-08-31,2023-09-30,1,votes>=1000,lattice_u0.1,28,0.9894179894179893,0.9983579638752054,2.0,0.0,0.16748922525491106,0.055636184099019645,0.10537241338275712,0.11449592750728521,0.018907868037677595,0.08327945840340917
2023-08-31,2023-09-30,1,votes>=1000,lattice_u0.5855,28,0.9841269841269842,0.9978106185002736,2.0,0.0,0.16812006478272823,0.052414265372107804,0.10506357344331693,0.12006012932629972,0.01888976511678921,0.08214790303450711
2023-08-31,2023-09-30,1,votes>=1000,lattice_u0.8,28,0.9894179894179893,0.9983579638752054,2.0,0.0,0.15710246713641396,0.05093236923126101,0.09388618316908363,0.10971734450352488,0.018519094512468616,0.08523415083058224
2023-08-31,2023-09-30,1,all,bt,30,0.9724137931034483,0.9955506117908787,3.0,0.0,0.17192955888654549,0.05535066598272001,0.10750944802921619,0.11632577502377794,0.023299285226562567,0.09489651433044727
2023-08-31,2023-09-30,1,all,lattice_u0.1,30,0.9724137931034483,0.9955506117908787,3.0,0.0,0.16748922525491106,0.05339211423345982,0.10384645202197554,0.11471689677935137,0.022635834386469687,0.09404614216844513
2023-08-31,2023-09-30,1,all,lattice_u0.5855,30,0.967816091954023,0.9951056729699665,3.0,0.0,0.16812006478272823,0.05095408496204664,0.1031139106877743,0.12010393960136045,0.022867702520066226,0.09678446556996824
2023-08-31,2023-09-30,1,all,lattice_u0.8,30,0.9724137931034483,0.9955506117908787,3.0,0.0,0.15710246713641396,0.04879849208735042,0.09297964884286879,0.11001497046342601,0.021695225428868016,0.08713659808296714
2023-08-31,2023-11-30,3,votes>=1000,bt,28,0.9629629629629629,0.9950738916256158,2.0,0.0,0.29427525944645927,0.10621730515280171,0.25000631853181743,0.191906864436435,0.03664271410774099,0.1643037805253216
2023-08-31,2023-11-30,3,votes>=1000,lattice_u0.1,28,0.9629629629629629,0.9950738916256158,2.0,0.0,0.2871226668457443,0.10328347241917131,0.24337032492876423,0.1883342989212976,0.03500690819795244,0.1604727198326602
2023-08-31,2023-11-30,3,votes>=1000,lattice_u0.5855,28,0.9576719576719577,0.9928845101258894,3.0,0.0,0.2858779460037101,0.09895292300685539,0.24020687167050025,0.19271553049708134,0.03452867444205573,0.16125022152966711
2023-08-31,2023-11-30,3,votes>=1000,lattice_u0.8,28,0.9682539682539683,0.9956212370005473,2.0,0.0,0.2729633038792849,0.09723041181549809,0.22633097506368932,0.18026570688498744,0.034765879986086885,0.15132037259130293
2023-08-31,2023-11-30,3,all,bt,30,0.9448275862068967,0.9919911012235817,3.0,0.0,0.29427525944645927,0.10215725479947639,0.2406835049176502,0.19234214818027462,0.038232116883946045,0.1597861687151179
2023-08-31,2023-11-30,3,all,lattice_u0.1,30,0.9448275862068967,0.9919911012235817,3.0,0.0,0.2871226668457443,0.09942795769803744,0.23435436687957575,0.18857345926948965,0.03677759263690135,0.15602089576924602
