link,n_triples_total,mean_zsq,median_zsq,share_absz_gt2
logit,786,1.2023283729582996,0.48881172425071506,0.07251908396946564
lat_u0.5855,786,1.231384753243953,0.5215349349984119,0.06870229007633588
lat_u0.1,786,1.2521911164735022,0.5279468478948461,0.07633587786259542
lat_u0.8,786,1.279491823319956,0.5352687505732607,0.08778625954198473
