direction,min_kl_nats,x_mpd,bestfit_scale,bestfit_nu
lattice_truth_u0.5855,2.9214749274304123e-05,0.09738249758101375,0.7539409493735842,0.38463644643399764
lattice_truth_u0.8,5.6576241585643385e-05,0.18858747195214465,0.7209737519040609,0.5581144965081499
davidson_truth_nu0.5(tie0=0.200),9.411792647549323e-05,0.31372642158497743,,0.7318611420045942
davidson_truth_nu0.55(tie0=0.216),8.408449805711541e-05,0.28028166019038475,,0.7936720882037684
