block,n_stable_models,n_legs,n_triples,mean_zsq_logit,share_absz_gt2_logit,mean_zsq_lat_u0.5855,share_absz_gt2_lat_u0.5855,mean_zsq_lat_u0.1,share_absz_gt2_lat_u0.1,mean_zsq_lat_u0.8,share_absz_gt2_lat_u0.8,mean_zsq_logit_minus_lat,share_triples_lat_better
block02_2023-08-22,14,26,35,1.5695460168567807,0.14285714285714285,1.6400392009242697,0.14285714285714285,1.5914722259157899,0.14285714285714285,1.561062972209427,0.08571428571428572,-0.07049318406748861,0.22857142857142856
block03_2023-10-21,16,34,29,1.0527021511863877,0.06896551724137931,1.0167315968342698,0.0,1.0514144340899958,0.06896551724137931,1.051081733335684,0.06896551724137931,0.03597055435211776,0.4482758620689655
block04_2023-12-20,24,79,105,1.6487329877898953,0.13333333333333333,1.720636739790122,0.12380952380952381,1.707067657073734,0.13333333333333333,1.614884745210122,0.14285714285714285,-0.07190375200022689,0.3523809523809524
block05_2024-02-18,17,55,141,1.368040817344872,0.09219858156028368,1.4264684248308779,0.0851063829787234,1.4358641371518945,0.09219858156028368,1.4360890712463714,0.09929078014184398,-0.05842760748600616,0.45390070921985815
block06_2024-04-18,16,112,476,1.0368842630404727,0.04831932773109244,1.0487036179203515,0.05042016806722689,1.0847284111793087,0.0546218487394958,1.1523330704676875,0.07352941176470588,-0.011819354879878785,0.46218487394957986
