variant,n_common,n_ours_only,n_pub_only,spearman,kendall,pearson,mae,max_abs
"fastchat-LR, dedup_sampled",128,1,0,0.9999713880241714,0.9987696850393702,0.9999891168560138,0.18324281211162408,2.9519439240048087
"fastchat-LR, all battles",128,1,0,0.9990672495879875,0.9817913385826773,0.9996296739326911,4.590542601840087,16.690652978276376
"choix BT, decisive only, dedup",128,1,0,0.9989413568943416,0.9810531496062994,0.9988626114141008,41.44766569917482,150.81494940373625
