checkpoint,n_test,n_cold,base,o1_recal,o1_scale,o2_refit,o3_cold_gain,cold_share,o4_tie_drift,r1_decay,r1_hl,r2_recal,r2_s,r3_both,r4_ridge,r4_l2
2025-05-01,2606,218,0.6588357675696215,2.659402767672958,1.220211038659428,29.77272635204836,45.54730036289672,0.07716814159292035,0.03135140865400104,0.0,inf,0.0,1.0,0.0,0.0,1e-06
2025-05-08,2654,0,0.6537099631751956,8.645941043458615,1.4186720649378548,26.33174380505171,,0.0,2.1051841389398604,0.0,inf,6.743388137367134,1.220211038659428,6.743388137367134,0.0,1e-06
2025-05-15,1915,795,0.6512578077711629,9.433218165854628,1.4258038464963991,17.28282020373395,165.55670442206903,0.28261642374688944,0.0044200576436611,1.1127669716742838,30.0,9.430676125889436,1.4186720649378548,10.856838386217316,0.0,1e-06
2025-05-22,4994,2970,0.649426569651681,0.7810288850551572,1.0968379811876101,8.16512524722146,114.15369823134124,0.363302752293578,0.25902541569313803,1.1843232873121057,30.0,-7.777210828414094,1.4258038464963991,-6.306986082350862,0.0,1e-06
2025-05-29,8918,1303,0.6521102062495472,5.188384147374325,1.2973770967431633,3.778348879877602,150.35869539024333,0.12748263379317093,0.05463118896540294,0.7297889384910716,30.0,2.852977221552422,1.0968379811876101,3.7054668005973013,-0.13092895436633833,1.0
2025-06-05,6585,1123,0.647972518439704,7.272314747520103,1.3458639424988095,2.8149454623579984,69.36207806863048,0.14445587856959094,1.1601303348138305,0.0073164224745347894,30.0,7.133927628159841,1.2973770967431633,7.15464227596968,0.0,1e-06
2025-06-12,7132,2179,0.6510437140614442,6.095062964957543,1.3247674399373455,5.7243205528378915,92.87796755545641,0.233048128342246,1.1339570770516583,-0.22631722998073256,60.0,6.070342096399228,1.3458639424988095,5.840811718472172,0.0,1e-06
2025-06-19,10694,0,0.6527567003052976,3.975260701153116,1.2550688676538921,6.850238570333677,,0.0,0.11586149282174359,0.0,inf,3.68870209671468,1.3247674399373455,3.68870209671468,0.16217408519619836,0.3
2025-06-26,7701,0,0.6486946314522217,6.985913323376836,1.3406769028658814,8.530547741715521,,0.0,0.0018524495663377473,0.2926351962964646,30.0,6.5567826312551425,1.2550688676538921,6.926942513447997,-0.06441652703886858,1.0
2025-07-03,8517,1539,0.6456922403462759,9.36495219582667,1.3942784812860938,7.676030241767218,67.3148182178801,0.15281501340482573,0.10356295706605319,0.09331242604604384,30.0,9.198234437177154,1.3406769028658814,9.334841623383493,0.0,1e-06
2025-07-10,9635,1330,0.6465768440250155,10.749200996339747,1.435716912364941,9.62395098192903,101.72292628095575,0.12106317130893865,0.09174655436399992,0.44407954052000376,30.0,10.655976100377995,1.3942784812860938,11.05225275769811,0.0,1e-06
2025-07-17,7604,222,0.641850423970806,11.371182105726628,1.425838964957335,7.741099474423418,68.3440837515098,0.028366981855353947,0.44069582395038326,0.5786121221781904,30.0,11.365358037291328,1.435716912364941,11.58984190075929,0.0,1e-06
