unit,skew_a,sigma_gap,min_kl_nats,x_mpd,best_logistic_scale
0.1,0.0,2.1,0.0004803006764981999,1.2007516912454999,0.7951153593016512
0.1,0.0,3.0,0.0006136211463730697,1.534052865932674,0.7827702184333967
0.1,0.0,4.0,0.0006390250937342606,1.5975627343356513,0.7758658262144662
0.4,0.0,2.1,0.0003544505231793223,0.8861263079483057,0.7458597417310479
0.4,0.0,3.0,0.0004459373367885587,1.1148433419713968,0.7364300333665125
0.4,0.0,4.0,0.0004608057998991686,1.1520144997479214,0.7311583533058955
0.5855,0.0,2.1,0.0002971451011743842,0.7428627529359605,0.7192405620449664
0.5855,0.0,3.0,0.0003690021483061318,0.9225053707653295,0.7112358240318923
0.5855,0.0,4.0,0.00037906809976711025,0.9476702494177756,0.7067596127140784
0.8,0.0,2.1,0.0002585114337354489,0.6462785843386222,0.6916850524446783
0.8,0.0,3.0,0.00031077628739509884,0.776940718487747,0.6850357824934699
0.8,0.0,4.0,0.00031499638188310674,0.7874909547077668,0.6813201365116031
1.2,0.0,2.1,0.00031019054913446426,0.7754763728361606,0.649348098736985
1.2,0.0,3.0,0.0003215681585992668,0.8039203964981669,0.6445146030381882
1.2,0.0,4.0,0.00030568069849181404,0.7642017462295351,0.6418192216836379
0.8,4.0,2.1,0.0001906259523612832,0.476564880903208,0.4416883531330776
0.8,4.0,3.0,0.0001657460009406811,0.41436500235170276,0.4402600231928664
0.8,4.0,4.0,0.00014316088857055606,0.3579022214263901,0.43953238284961677
0.8,8.0,2.1,0.00019096557549348503,0.4774139387337126,0.44106315399995716
0.8,8.0,3.0,0.00016590764739548997,0.4147691184887249,0.4396410655176594
0.8,8.0,4.0,0.00014324299777744077,0.3581074944436019,0.4389168518919867
1.2,6.0,2.1,0.0006190575563885833,1.5476438909714583,0.5998536113017375
1.2,6.0,3.0,0.0006224336624192527,1.5560841560481318,0.5938601276596263
1.2,6.0,4.0,0.0005749135332199316,1.4372838330498288,0.5907319001849051
0.4,8.0,2.1,7.782477369912128e-05,0.1945619342478032,0.43377615496509714
0.4,8.0,3.0,8.05230135655504e-05,0.201307533913876,0.4325617479723026
0.4,8.0,4.0,7.483708279295526e-05,0.18709270698238814,0.4319199329260503
