block,dates,n_triples,mean_zsq_logit,mean_zsq_lat,share_zsq_gt4_logit,block_votes,n_entries_in_block,entrant_vote_share,n_judges,votes_per_judge,english_share,tie_share,high_freq_share,overlaps_dedup_switch
block02,2023-08-22..2023-10-21,35,1.5695460168567807,1.6400392009242697,0.14285714285714285,20779,7,0.6247172626209153,10373,2.003181336161188,0.7675537802589153,0.296212522258049,0.011405746186053226,False
block03,2023-10-21..2023-12-20,29,1.0527021511863877,1.0167315968342698,0.06896551724137931,88997,16,0.7354854658022181,34495,2.5799971010291345,0.7788352416373585,0.3170219220872614,0.012753238873220446,False
block04,2023-12-20..2024-02-18,105,1.6487329877898953,1.720636739790122,0.13333333333333333,130033,16,0.622180523405597,43304,3.002794199150194,0.776856644082656,0.31573523643998064,0.015734467404428108,False
block05,2024-02-18..2024-04-18,141,1.368040817344872,1.4264684248308779,0.09219858156028368,372675,21,0.8876152143288388,114791,3.2465524300685593,0.5800093915610116,0.33218219628362516,0.018402092976454013,False
block06,2024-04-18..2024-06-17,476,1.0368842630404727,1.0487036179203515,0.04831932773109244,647020,22,0.9086998856295014,193140,3.3500051775913846,0.5569812370560415,0.3531220055021483,0.018951500726407222,True
