unit,n_windows,n_lattice_better,n_bt_better,median_delta,pooled_delta,mpd,consistency_needed,verdict,directional_note,ci_lo,ci_hi,recent_pooled,recent_ci_lo,recent_ci_hi,recent_n,established_pooled
u0.5855,13,1,12,-5.081857848433032e-05,-4.851463180494865e-05,0.0004,10,equivalence,sub-practical directional lean: bt,-7.648340265229403e-05,-2.955845131910524e-05,-4.3942188521119567e-05,-6.880131492924011e-05,-2.0866041611325764e-05,329421,-4.956417452388169e-05
u0.1,13,0,13,-4.838600919155412e-05,-5.930127269210306e-05,0.0004,10,equivalence,sub-practical directional lean: bt,-8.03239095331561e-05,-4.6332982822649826e-05,-4.352260367480426e-05,-5.451601859780925e-05,-3.754576241866679e-05,329421,-5.7129724347428577e-05
u0.8,13,1,12,-7.300474406538676e-05,-9.034139095219103e-05,0.0004,10,equivalence,sub-practical directional lean: bt,-0.0001283692978453591,-6.569810843572159e-05,-8.643131680127086e-05,-0.00012118082375077895,-6.380931062781789e-05,329421,-9.56386561183717e-05
