regime,method,n_models,median_se_nat,p90_se_nat,max_se_nat,median_se_elo
early_2023-08-31,bt,30,0.025929071291112056,0.03855451631072782,0.1115280476652115,4.5043410330423965
early_2023-08-31,lattice_u0.5855,30,0.019406132635672653,0.029486999105285943,0.08420040318302022,3.3711905275020966
mid_2023-12-31,bt,52,0.020161724014366035,0.0316964209492802,0.03943204681460821,3.502450194038179
mid_2023-12-31,lattice_u0.5855,52,0.015138993950273235,0.02364689785604216,0.029686653871420693,2.6299126136681514
full_2024-08-12,bt,129,0.01227657308643448,0.024375051194288743,0.04344376903740668,2.1326591792481873
full_2024-08-12,lattice_u0.5855,129,0.009286199192932608,0.018333680142873943,0.03298424652946746,1.6131780269380247
crosscheck_vs_published_bootstrap,bt,128,0.8032783699357507,0.9831132118659586,,
