window,n,mean_d_logloss,mean_d_brier,mean_ll_bt,mean_ll_lat,var_per_vote,bin
2023-07-31,1450,-2.1170667615334942e-05,-7.873795239671449e-06,0.6252488791480586,0.625270049815674,1.1767325719922697e-05,moderate
2023-08-31,2743,-0.0004675876746024593,-0.00020872762176472743,0.6411959916326538,0.6416635793072564,2.2191810052720246e-05,high
2023-09-30,1745,1.6031118657315096e-05,3.43311850952508e-06,0.673890185345105,0.6738741542264478,4.977364765673639e-06,high
2023-10-31,3588,-8.132897887523752e-05,-4.072931247608248e-05,0.6759762297680204,0.6760575587468958,3.994542131913091e-06,moderate
2023-11-30,21862,4.029226261298908e-05,1.6919436073423202e-05,0.6398004704339938,0.6397601781713809,1.0507168945312668e-05,low
2023-12-31,7735,-8.854396634405016e-05,-4.24311417481922e-05,0.6523727409166987,0.6524612848830428,3.4054295000765242e-06,low
2024-01-31,6694,-3.0585115858169353e-06,-9.179033078748402e-06,0.6245793840178484,0.6245824425294341,5.645809485617387e-06,moderate
2024-02-29,24970,-0.00014930385161064685,-7.441819104882817e-05,0.6296110841190408,0.6297603879706514,6.95960467159494e-06,moderate
2024-03-31,36406,-5.898456709360636e-05,-3.0813722093392877e-05,0.6372156545513638,0.6372746391184574,4.43348125394048e-06,low
2024-04-30,89905,-5.243213893343883e-05,-2.7955150000346063e-05,0.6412274489712211,0.6412798811101544,4.01052242111975e-06,low
2024-05-31,71836,-9.69269551695588e-07,-5.403107448971244e-06,0.639091042193786,0.6390920114633377,4.131777716137881e-06,low
2024-06-30,32424,-5.432771995840682e-05,-2.755010971851364e-05,0.6648954411420215,0.6649497688619798,2.2378244150528414e-06,low
2024-07-31,28063,-3.993489212107721e-05,-2.1876554960379783e-05,0.6507459921071455,0.6507859269992664,3.2233375759818863e-06,moderate
