regime,truth_unit,truth_skew,population_kl_x_mpd,expected_delta_x_mpd_with_real_noise
early_2023-08-31,0.5855,0.0,0.008681848162073706,0.26705194748378275
early_2023-08-31,1.2,6.0,0.12012140706980508,1.1422125299779273
mid_2023-12-31,0.5855,0.0,0.008681848162073706,0.14030779314623484
mid_2023-12-31,1.2,6.0,0.12012140706980508,0.442956904195401
full_2024-08-12,0.5855,0.0,0.008681848162073706,0.04607366276547609
full_2024-08-12,1.2,6.0,0.12012140706980508,0.12107873453303357
