block,half,n_triples,mean_zsq_logit
block02,H1,16,0.9121619089800327
block02,H2,42,2.0345611889766952
block03,H1,46,1.427435936196534
block03,H2,42,1.2764105071864085
block04,H1,140,1.7420159617964333
block04,H2,48,1.5388902019066775
block05,H1,109,1.4601975248916088
block05,H2,138,0.858360907242114
block06,H1,465,0.8230602933385865
block06,H2,321,1.1514694692339822
