model,bt_dedup,bt_nodedup,choix_decisive_dedup,published
RWKV-4-Raven-14B,921.7836549233432,930.6032824216055,845.6883624488523,921.7907483219816
alpaca-13b,901.5375158888627,910.7653480356901,815.79919892577,901.6143165933336
athene-70b-0725,1248.6453669631996,1244.6687634268912,1325.7564136973358,1247.1243990989956
bard-jan-24-gemini-pro,1208.5948124712513,1208.5327394345848,1248.788551982356,1208.5990982221942
chatglm-6b,878.973622673116,888.8854009385491,774.8820137035418,879.0703482754187
chatglm2-6b,923.8383471448252,936.1026655931691,830.9268669559558,923.9116446401048
chatglm3-6b,955.3403563681842,962.8364067465627,875.8597528910263,955.409427346826
chatgpt-4o-latest-2024-08-08,1313.7466689949124,1308.1758634475007,1434.3245662199372,1313.5454668908842
claude-1,1148.8444398854717,1150.6851208261587,1167.524736683099,1148.869884595299
claude-2.0,1131.7127470336125,1133.4952481451628,1139.8893043177732,1131.701125301854
claude-2.1,1118.1496050870837,1118.6677618385445,1122.2626877056755,1118.2306067896584
claude-3-5-sonnet-20240620,1271.1059314833828,1268.6351726131384,1355.4523929647994,1270.9301983666242
claude-3-haiku-20240307,1178.3580711062377,1180.9828684531296,1212.9158426064823,1178.477610996094
claude-3-opus-20240229,1247.6462190096386,1245.4260235299469,1316.3648786453741,1247.746498379745
claude-3-sonnet-20240229,1200.9464123161874,1198.6456613749403,1246.1212825881694,1200.9667933478731
claude-instant-1,1111.2695963127485,1112.147917958122,1110.2006219231862,1111.2983777523484
codellama-34b-instruct,1042.4463897708729,1048.5696959598827,1012.0182980953051,1042.4706372418068
codellama-70b-instruct,1042.5193632750568,1048.0874842567923,1008.0582772980234,1042.6440811208736
command-r,1148.560239527933,1150.0894198479364,1167.68813644082,1148.563636139791
command-r-plus,1189.828472726207,1189.158215889368,1231.6493645686453,1189.8319864152454
dbrx-instruct-preview,1103.1632570886782,1105.486334070174,1096.3557037164549,1103.161671253275
deepseek-coder-v2,1178.2453203692917,1177.6591813363757,1211.9532623063217,1178.1519142735829
deepseek-coder-v2-0724,1215.1143170962628,1214.2330764005874,1268.0257314851274,1215.1053325426228
deepseek-llm-67b-chat,1076.798821606113,1080.5500753208426,1065.4625025899293,1076.8043052164885
deepseek-v2-api-0628,1218.687346348424,1217.2262973327176,1275.2053216200507,1217.798208834769
dolly-v2-12b,822.0659605145905,828.9017964043917,691.4019602099461,822.0894645379595
dolphin-2.2.1-mistral-7b,1062.4862145461002,1066.742364900625,1039.118596892992,1062.5608252144564
falcon-180b-chat,1034.392252284233,1040.9065317430363,1002.9917696107211,1034.3522288410968
fastchat-t5-3b,868.2752021594705,879.5643708067091,757.8367131166453,868.3019211439723
gemini-1.5-flash-api-0514,1227.0839305807185,1224.9792330867704,1288.912798902914,1227.0603896280631
gemini-1.5-pro-api-0409-preview,1257.2745412057393,1247.6301368520444,1329.785777823867,1257.3501323003902
gemini-1.5-pro-api-0514,1259.9535708384192,1256.570813404235,1339.2686298698595,1259.9149044075791
gemini-1.5-pro-exp-0801,1297.7955603197743,1292.9936307474793,1401.8736266958388,1296.5227270597202
gemini-advanced-0514,1266.2897230160006,1261.5572247312284,1348.5050639783603,1266.2320491827013
gemini-pro,1110.5817922255073,1115.4657911459776,1111.3031874610633,1110.5937433680656
gemini-pro-dev-api,1131.1608343114358,1135.7191263055472,1144.1633535571493,1131.2367442489958
gemma-1.1-2b-it,1020.2555503930425,1031.6014643438452,955.0489660836938,1020.2922320787244
gemma-1.1-7b-it,1083.5608972844168,1090.1366026989615,1061.5630719453184,1083.6410591296703
gemma-2-27b-it,1217.0962111840327,1214.1691048354126,1273.6726235427195,1216.52307028591
gemma-2-2b-it,1127.6813690482913,1128.67353338871,1125.7414581909798,1130.339867128837
gemma-2-9b-it,1187.1877724416363,1185.6238771825986,1224.6565279926901,1187.1710145203688
gemma-2b-it,989.4724460832354,1000.4905685233206,923.3930884054319,989.5597878564718
gemma-7b-it,1037.2956858689322,1043.615360801598,999.3382179345845,1037.4448532097208
glm-4-0116,1182.9535087279596,1173.318588695986,1220.6649031064683,1183.0764991190667
glm-4-0520,1206.6170517106689,1205.0955633722156,1257.4340820434618,1206.6736282975016
gpt-3.5-turbo-0125,1105.5935411689368,1113.524691565839,1099.7630334055762,1105.601467157383
gpt-3.5-turbo-0314,1106.2642857169978,1110.476381861614,1096.0487358097498,1106.3138127836903
gpt-3.5-turbo-0613,1116.9245033662578,1120.928283772984,1120.1341016540684,1116.8892008378816
gpt-3.5-turbo-1106,1067.8661437767541,1073.5250744006985,1046.0742374007787,1067.872329020294
gpt-4-0125-preview,1245.4148361219804,1243.029269146066,1311.7490836851814,1245.449006723515
gpt-4-0314,1186.1190731745137,1188.4707096718528,1222.7026722184728,1186.1158584986538
gpt-4-0613,1162.3184890662778,1165.968034850326,1186.1703933953272,1162.4184964943352
