model,bt_dedup,bt_nodedup,choix_decisive_dedup,published
gpt-4-1106-preview,1250.8646402386903,1249.1914239481694,1319.059118195059,1250.786009502136
gpt-4-turbo-2024-04-09,1256.428116653004,1252.501930103387,1331.645378179963,1256.5037592381464
gpt-4o-2024-05-13,1285.909621270594,1282.3624960235013,1379.4298646222264,1285.743838183107
gpt-4o-2024-08-06,1259.1739471346718,1256.525654638193,1341.0921097682167,
gpt-4o-mini-2024-07-18,1274.8841234569582,1271.043264428266,1367.386989248325,1273.626608762378
gpt4all-13b-snoozy,931.6113704622052,941.6991863061459,857.4520417937129,931.5512351491724
guanaco-33b,1032.2972893781987,1037.2424498297696,1003.4802232809676,1032.3245922596177
koala-13b,964.2161731711777,971.507795419873,905.5921523350179,964.2721064786376
llama-13b,798.8950556900489,807.099722131072,648.0712086863537,798.8861580900899
llama-2-13b-chat,1063.2516545109129,1068.7832757252777,1036.7350162792015,1063.3270965429251
llama-2-70b-chat,1093.086045011674,1096.60337594142,1083.371257013492,1093.080434242498
llama-2-7b-chat,1036.9409026073868,1043.1250117102227,997.9096079169695,1036.86084897712
llama-3-70b-instruct,1206.1162252412296,1201.8996299891282,1257.28414932484,1206.1765007444046
llama-3-8b-instruct,1151.8752534637142,1153.0356521572555,1170.9405519675695,1151.947363144841
llama-3.1-405b-instruct,1263.7720907114212,1260.8712977534212,1347.178821584915,1263.3053230596363
llama-3.1-70b-instruct,1244.1204737305275,1241.3544518121555,1317.92626635068,1245.6364994519745
llama-3.1-8b-instruct,1167.181573438796,1165.9166965769616,1190.4173324715155,1170.1335173628008
llama2-70b-steerlm-chat,1080.5087628945353,1084.0517945534712,1071.505293724807,1080.5001638082038
mistral-7b-instruct,1008.1507339663677,1016.0318063743334,956.0843127549658,1008.0586932524152
mistral-7b-instruct-v0.2,1072.2447171259223,1074.875890901545,1050.0676803886834,1072.3405417226684
mistral-large-2402,1157.1409760002093,1154.772527503191,1180.8313803750434,1157.1441148649417
mistral-large-2407,1250.978363523831,1247.9390130751094,1327.924406304978,1249.4624900710523
mistral-medium,1147.7175832842913,1146.4415887604991,1167.5275748287215,1147.7489619596386
mistral-next,1124.462953949052,1127.6297691881755,1130.6973671631745,1124.4380510085646
mixtral-8x22b-instruct-v0.1,1146.856186369319,1145.8926652978644,1163.3371064195605,1146.7976361950325
mixtral-8x7b-instruct-v0.1,1114.0,1114.0,1114.0,1114.0
mpt-30b-chat,1045.5352875814779,1051.121858866611,1022.3375083597472,1045.4776191653912
mpt-7b-chat,927.2862852601985,935.3998920139869,849.2366422780551,927.2973889899112
nemotron-4-340b-instruct,1209.0191993722678,1207.856006826627,1261.3067078927043,1208.9647615321337
nous-hermes-2-mixtral-8x7b-dpo,1084.4394741724964,1087.8335667505287,1074.6044012768712,1084.4390225916295
oasst-pythia-12b,893.4902037122596,902.7266454353918,802.2648653355143,893.3419304734216
olmo-7b-instruct,1015.2699852969608,1020.4895313497806,964.3601303849005,1015.373217623263
openchat-3.5,1076.3768391755634,1080.7418192797156,1062.220508065842,1076.3794687622371
openchat-3.5-0106,1091.4242956761113,1099.1156091842486,1081.3140331456502,1091.4277508115945
openhermes-2.5-mistral-7b,1074.6010273916281,1079.950899002311,1059.6884579121197,1074.679141966369
palm-2,1003.468667576448,1012.9260505159866,960.5111975363405,1003.4748285749577
phi-3-medium-4k-instruct,1122.9394913820292,1124.5282088081024,1120.3005698761015,1123.0026109055725
phi-3-mini-128k-instruct,1036.5595691668605,1053.3124997981113,982.9195767708155,1036.621846819835
phi-3-mini-4k-instruct,1066.0384375506237,1072.1225937358304,1021.3402462826061,1066.096983887765
phi-3-mini-4k-instruct-june-2024,1068.2478141283436,1071.28799258272,1017.8811803359545,1070.2128031857983
phi-3-small-8k-instruct,1101.5500198648883,1104.1390925389246,1085.119862708947,1101.500398876905
pplx-70b-online,1077.986963343878,1077.6385829804044,1065.5877743065641,1078.0199267956482
pplx-7b-online,1044.5075521619788,1045.4134020318047,1017.3355795918857,1044.487350082586
qwen-14b-chat,1034.9134411909645,1042.3476310161811,999.6856207057766,1034.9923478546507
qwen-max-0428,1183.229525121763,1185.4812658180895,1219.9303525552693,1183.1730927861167
qwen1.5-110b-chat,1161.5693608665047,1165.4893806537727,1185.062685240878,1161.5631416945944
qwen1.5-14b-chat,1108.5508720000748,1118.9738367772034,1105.2523603653956,1108.668615937515
qwen1.5-32b-chat,1125.415288557051,1132.472882628529,1130.839666833648,1125.3759150723026
qwen1.5-4b-chat,988.2946406467926,1004.1419530795147,911.7667685606973,988.4925430222858
qwen1.5-72b-chat,1147.2861476701123,1151.8103268847503,1165.900339391145,1147.2958407362785
qwen1.5-7b-chat,1070.2028253473675,1079.8509706677378,1047.643587657003,1070.1749293701278
qwen2-72b-instruct,1187.3446738162493,1186.7263952577518,1226.591396226764,1187.1043209236354
reka-core-20240501,1199.3872665367962,1195.1650114723332,1245.9252477533437,1199.3487384390382
reka-core-20240722,1226.7716157415211,1223.8254923526017,1289.503695905906,1226.9524951346343
reka-flash-20240722,1198.8635164310435,1196.8088402694855,1240.984040236912,1199.0743814899092
reka-flash-21b-20240226,1147.5908795549703,1146.9626871052026,1165.431191131301,1147.5433188023858
reka-flash-21b-20240226-online,1155.6893645976993,1154.9233601991034,1179.018423721405,1155.7800084906994
reka-flash-preview-20240611,1165.0317492058107,1165.1893226088805,1189.689320323751,1164.9852213610484
snowflake-arctic-instruct,1089.6722160471975,1098.3713196930057,1072.08615954885,1089.711407419691
solar-10.7b-instruct-v1.0,1062.3141783216065,1067.131294720229,1039.0692401923482,1062.3106745269483
stablelm-tuned-alpha-7b,839.6660885912955,851.4300535071102,711.3076388492484,839.7514731498567
starling-lm-7b-alpha,1088.296245775879,1092.197224655709,1078.9830137789206,1088.4382841151837
starling-lm-7b-beta,1118.6085816061468,1118.5863800619734,1123.4220851503758,1118.680856667001
stripedhyena-nous-7b,1017.2861441305037,1024.260801983221,971.0904393090211,1017.3745712350365
tulu-2-dpo-70b,1099.4008978544557,1104.2481843997043,1093.5076101115753,1099.3991153734037
vicuna-13b,1041.7876432327917,1050.3551052113119,1010.2711836268734,1041.832973586328
vicuna-33b,1090.7042292717802,1095.8918334711602,1082.5222482247545,1090.7198688876902
vicuna-7b,1005.0146454113654,1012.4996667893449,964.2833089587874,1004.964080782008
wizardlm-13b,1058.6078012333405,1064.4454134747102,1039.4665931181287,1058.540469297064
wizardlm-70b,1106.1408299533446,1110.3029410570261,1105.3218964156847,1106.1058902099949
yi-1.5-34b-chat,1156.916564017969,1157.3942257162985,1178.5798949908408,1156.9632602321713
yi-34b-chat,1111.2802146879603,1116.5983678959792,1111.998516160414,1111.3502688875549
yi-large,1212.4837208944177,1211.1812338527113,1266.80803383551,1212.4845866585656
yi-large-preview,1239.6510965105135,1234.9743461049716,1309.369652936645,1239.605925623151
zephyr-7b-alpha,1041.137421664067,1046.901361950343,1011.8454466052925,1041.1725569212626
zephyr-7b-beta,1053.332137855533,1057.166058498614,1027.3478050230776,1053.2466980480835
zephyr-orpo-141b-A35b-v0.1,1127.3481728388106,1128.7282730878333,1137.3119756092315,1127.4729586399044
