unit,nll,fitted_unit
0.1,38147.73555776944,0.585544829803806
0.12711402123597132,37135.91424996057,0.585544829803806
0.16157974394778968,36184.00906984892,0.585544829803806
0.20539051003482145,35309.849618883345,0.585544829803806
0.26108013654233275,34538.59327903657,0.585544829803806
0.33186946020732366,33898.68176345751,0.585544829803806
0.4218526161236408,33431.06435479313,0.585544829803806
0.5362338240439053,33195.95355667024,0.585544829803806
0.585544829803806,33180.21366649369,0.585544829803806
0.6816283769696309,33261.578785996426,0.585544829803806
0.8664452398515832,33720.534039108046,0.585544829803806
1.1013733861830037,34706.04883777381,0.585544829803806
1.4,36374.369999176524,0.585544829803806
