model,bt_theta,lattice_theta,bt_elo_equiv,num_votes,bt_rank,lattice_rank,rank_diff
chatgpt-4o-latest-2024-08-08,1.088008328761228,0.9263184911940149,189.00640537831217,14514,1,1,0
gemini-1.5-pro-exp-0801,0.9567534568911418,0.815159088337111,166.20509874787342,20071,2,2,0
gpt-4o-2024-05-13,0.8504204537430504,0.7244063553382324,147.73316414330657,77509,3,3,0
gpt-4o-mini-2024-07-18,0.7976181597412799,0.6804391947685443,138.56046617658572,19370,4,4,0
claude-3-5-sonnet-20240620,0.7551548125203638,0.6435272791019658,131.18382722411144,47703,5,5,0
gemini-advanced-0514,0.7225892664358704,0.6154423610378801,125.52661243824684,52155,6,6,0
llama-3.1-405b-instruct,0.7134042211535445,0.6082313462292205,123.93100664538859,18897,7,7,0
gpt-4o-2024-08-06,0.704102905956671,0.6004144334502232,122.3152026996106,9761,8,8,0
gemini-1.5-pro-api-0514,0.6861820702604027,0.5846546509909866,119.20203467801691,69418,9,9,0
gemini-1.5-pro-api-0409-preview,0.6458162858866554,0.5496290728150779,112.18977971353094,55654,10,10,0
gpt-4-turbo-2024-04-09,0.6410954718344088,0.5465669110111425,111.36969031633814,84505,11,11,0
athene-70b-0725,0.6284489080567266,0.5356562873302665,109.17275717086416,11476,12,12,0
mistral-large-2407,0.6283454192984179,0.5352712577281491,109.15477933219516,11517,13,13,0
llama-3.1-70b-instruct,0.5982787923431114,0.509702958788985,103.9316712617419,13604,14,14,0
gpt-4-1106-preview,0.5848231168191769,0.49750899685379457,101.59418100961173,92488,15,15,0
claude-3-opus-20240229,0.5819029497768651,0.49571428213394586,101.08689603652702,155944,16,16,0
gpt-4-0125-preview,0.5584270976237675,0.4760772752908108,97.00872281730028,85867,17,17,0
yi-large-preview,0.5472138993854967,0.46639696551388776,95.06079076955298,51739,18,18,0
reka-core-20240722,0.4664557156318793,0.3967574505780078,81.03165734046303,6974,19,19,0
gemini-1.5-flash-api-0514,0.4644171474433076,0.3956764918361817,80.67752177435095,56129,20,20,0
deepseek-v2-api-0628,0.3967260081617798,0.3373858195192704,68.91836646886615,16165,21,21,0
gemma-2-27b-it,0.3909797046157761,0.33285926535838717,67.92013130031796,27838,22,22,0
deepseek-coder-v2-0724,0.38025574529060674,0.32339069436854484,66.05718875668758,3997,23,23,0
