window,n,mean_d_logloss,mean_d_brier,mean_ll_bt,mean_ll_lat
2023-07-31,2561,-0.00010383371317780072,-4.8808849647214934e-05,0.6214519586522181,0.621555792365396
2023-08-31,5679,-0.00025337917659532964,-0.00011293090776012811,0.6485041368199984,0.6487575159965938
2023-09-30,6731,-4.6282428975898276e-05,-2.385532935026537e-05,0.664004187684557,0.6640504701135329
2023-10-31,11864,-4.1157481505504724e-05,-2.0400713194589558e-05,0.6703582028541937,0.6703993603356991
2023-11-30,24882,2.27961302803907e-05,9.765579405738132e-06,0.6417360795360569,0.6417132834057764
2023-12-31,25663,-8.188596775546049e-05,-4.022259539567525e-05,0.6331743184647862,0.6332562044325417
2024-01-31,19747,-5.978085843485857e-05,-3.2570860193782376e-05,0.6413681611755917,0.6414279420340266
2024-02-29,36104,-0.0001464884239570889,-7.249291429052096e-05,0.6321652121771684,0.6323117006011253
2024-03-31,48760,-6.050662693244247e-05,-3.20982442292038e-05,0.6370626743071791,0.6371231809341116
2024-04-30,107447,-5.081857848433032e-05,-2.7287238318633997e-05,0.6418936078485499,0.6419444264270342
2024-05-31,89995,-1.3784089752472018e-05,-1.1039734738582064e-05,0.6408449826249341,0.6408587667146866
2024-06-30,65692,-3.298108019630257e-05,-1.8762465878104026e-05,0.6573996288688237,0.6574326099490201
2024-07-31,34934,-2.3354438393008138e-05,-1.4218161581904463e-05,0.6502629552012003,0.6502863096395932
