checkpoint,n_test,n_cold,base,o1_recal,o1_scale,o2_refit,o3_cold_gain,cold_share,o4_tie_drift,r1_decay,r1_hl,r2_recal,r2_s,r3_both,r4_ridge,r4_l2
2023-07-01,3404,2103,0.5798631969334456,38.64510275068539,1.610018044220556,25.90254693542432,215.53568532703542,0.3718175388967468,12.485873175954513,0.0,inf,0.0,1.0,0.0,0.0,1e-06
2023-08-01,2561,927,0.6214519586522179,5.278474361145868,1.2214293462765622,1.8796935161957684,57.75537450922629,0.26002805049088357,26.788707295290855,1.3648109857711255,30.0,-9.37527882352962,1.610018044220556,-6.081768214100946,0.0,1e-06
2023-09-01,5679,2328,0.6485041368199981,1.0441473305247695,1.1118245063842624,7.086544326702082,101.72918065885494,0.28955223880597014,12.401096310934701,1.0393337858413676,30.0,0.0654829162241577,1.2214293462765622,4.013932868792979,0.0,1e-06
2023-10-01,6731,2965,0.6640041876845565,0.13509749487272682,1.0468974629352579,15.410592206971106,38.46069165410471,0.3015969891160614,13.178047885793305,2.5031992771951117,30.0,-0.12090611947457308,1.1118245063842624,3.3148451309816807,0.0,1e-06
2023-11-01,11864,11125,0.6703582027776331,2.067679670348377,1.240548725473101,1.75727919770996,100.19723352286653,0.42435916997253587,12.453543178918883,-1.4892376713471212,30.0,0.7330217600540201,1.0468974629352579,-0.4882097894157167,-0.013622024892800955,1.0
2023-12-01,29422,13967,0.6470858495702573,17.15331861930347,1.6046808507218873,24.704618847716795,109.20217284179355,0.3106055551849134,17.692256643946244,0.09208188760156943,365.0,11.092547344147274,1.240548725473101,11.260837147589742,0.0,1e-06
2024-01-01,25663,15528,0.6331743184640264,17.83778362858118,1.5285132955777725,10.479299691700527,157.80494479335687,0.35471491228070173,2.567255506477316,3.473621855139275,30.0,17.497676858450326,1.6046808507218873,19.345338147306045,-0.05378878518313979,1.0
2024-02-01,19747,25796,0.6413681611695962,9.37638560444043,1.3782551310468614,6.490801585899708,119.3693199917753,0.4861666038447041,4.474963465817492,1.645692830644363,30.0,7.9983723733798024,1.5285132955777725,9.239483688185945,0.0,1e-06
2024-03-01,36104,67877,0.6321652122063917,13.933665018616425,1.4459376407767384,-1.0275740850940185,148.56123465801033,0.552366459425149,0.9135035363816609,-0.7478967858723373,30.0,13.630056963915004,1.3782551310468614,13.307250050518249,0.0,1e-06
2024-04-01,48760,103822,0.6370626743078228,11.373096367789381,1.4047756589735159,-4.362642383020365,109.15850585518693,0.5145867821845974,2.652033630032568,0.0,inf,11.26183068154679,1.4459376407767384,11.26183068154679,0.0,1e-06
2024-05-01,107447,104384,0.6418936019953898,10.446112973845066,1.4051910016824045,-3.403713480739645,109.88840808716704,0.42563498244598214,8.437277747368848,0.0,inf,10.44610252070005,1.4047756589735159,10.44610252070005,0.0,1e-06
2024-06-01,89995,38542,0.6408450115876428,15.67701441953534,1.5203692530225767,0.3454659448998143,89.34123022622558,0.28447429604753294,3.5953993801897632,0.0,inf,14.942633025165907,1.4051910016824045,14.942633025165907,0.0,1e-06
2024-07-01,65692,37298,0.6573996290383728,10.587203538290346,1.5059927851971893,-1.4564499959621169,153.98585163699934,0.3399442206383638,5.510071162059006,0.0,inf,10.579011604561483,1.5203692530225767,10.579011604561483,-0.010181731056324583,1.0
