window,n,mean_d_logloss,mean_d_brier,mean_ll_bt,mean_ll_lat,var_per_vote,bin
2023-07-31,1450,-0.0002450507422043191,-0.00011038647754087495,0.6252488791480586,0.6254939298902631,9.157506587772569e-06,moderate
2023-08-31,2743,-0.00015641758609558423,-7.375303549006951e-05,0.6411959916326538,0.6413524092187494,8.526013004312097e-06,high
2023-09-30,1745,1.400383466285176e-05,4.9178050633693724e-06,0.673890185345105,0.6738761815104422,4.5340093675000975e-06,high
2023-10-31,3588,-2.6565999869992134e-05,-1.2444871367490971e-05,0.6759762297680204,0.6760027957678905,1.5153299668075292e-06,moderate
2023-11-30,21862,0.0031064945048454606,0.0014879491645293419,0.6398004704339938,0.6366939759291483,0.00942906674385507,low
2023-12-31,7735,-0.00014435028559601598,-6.73027521370637e-05,0.6523727409166987,0.6525170912022947,2.767500346099516e-06,low
2024-01-31,6694,1.68288892275993e-05,-4.809219560646413e-06,0.6245793840178484,0.6245625551286207,4.4892764694447e-06,moderate
2024-02-29,24970,-9.359805304697563e-05,-5.34292671743358e-05,0.6296110841190408,0.6297046821720877,9.79248067639535e-06,moderate
2024-03-31,36406,-5.455157662891041e-05,-2.9950757814648564e-05,0.6372156545513638,0.6372702061279927,2.856809447377894e-06,low
2024-04-30,89905,-4.20553919288846e-05,-2.4855720762565763e-05,0.6412274489712211,0.64126950436315,2.51904004933516e-06,low
2024-05-31,71836,-5.063827966210018e-05,-2.8983991600427715e-05,0.639091042193786,0.6391416804734481,6.152791337633557e-06,low
2024-06-30,32424,-3.765607150338808e-05,-1.8761106479158355e-05,0.6648954411420215,0.6649330972135248,5.748846743778948e-07,low
2024-07-31,28063,-3.484893745986407e-05,-1.8493065015191375e-05,0.6507459921071455,0.6507808410446052,2.22057053961878e-06,moderate
