checkpoint,n_recent_models,cohort_median_se_elo,era_median_se_elo,se_ratio,stratum_votes_28d,stratum_decisive_28d
2023-07-31,3,9.074081639677164,5.37751943836074,1.6874102908762836,3130,2252
2023-08-31,3,17.74651648054824,5.630426291302994,3.1518957113354444,1439,1004
2023-09-30,3,17.868553366726463,5.386972573268063,3.3169935661815177,3345,2361
2023-10-31,3,8.234825061159103,4.980710546340642,1.6533434305290597,4530,3100
2023-11-30,11,10.780907901987938,9.377894290196688,1.1496085974500596,20547,14352
2023-12-31,5,4.8785970347342955,4.378062742547724,1.11432780241411,22643,15545
2024-01-31,6,5.279468039444477,4.050036593171225,1.303560577291128,25248,18113
2024-02-29,12,5.911554724866116,3.889174132088131,1.5200025825771273,50951,33313
2024-03-31,6,2.268858008219798,3.6218898770495733,0.6264293187367783,121838,83869
2024-04-30,14,2.5228835877423132,3.2853569669182923,0.7679176458285478,218188,144291
2024-05-31,15,2.2049882660579327,2.985009231251187,0.7386872519431696,212796,137796
2024-06-30,7,3.1595092093000288,2.7843128766315273,1.1347536535198643,71868,45490
2024-07-31,12,4.485627944164476,2.830811162642483,1.5845733559907502,62620,39788
2024-08-12,13,3.0530759469008815,2.665823974060234,1.1452653950931488,116311,72585
