window,n,mean_d_logloss,mean_d_brier,mean_ll_bt,mean_ll_lat
2023-07-31,2561,-0.0001742442374163696,-8.658228159564392e-05,0.6214519586522181,0.6216262028896345
2023-08-31,5679,-3.288690679806675e-05,-1.613526912818289e-05,0.6485041368199984,0.6485370237267966
2023-09-30,6731,-4.260274459436453e-05,-2.185703963889888e-05,0.664004187684557,0.6640467904291515
2023-10-31,11864,-3.8405759225419806e-05,-1.9146265492518384e-05,0.6703582028541937,0.6703966086134191
2023-11-30,24882,-5.676310376108698e-05,-2.1025463848560174e-05,0.6417360795360569,0.641792842639818
2023-12-31,25663,-0.0001147472418020626,-5.7143347976030354e-05,0.6331743184647862,0.6332890657065884
2024-01-31,19747,-6.080524093793137e-05,-3.512505241316676e-05,0.6413681611755917,0.6414289664165297
2024-02-29,36104,-0.00013178886468516308,-6.853849919171687e-05,0.6321652121771684,0.6322970010418534
2024-03-31,48760,-5.9920835867527404e-05,-3.276258437165571e-05,0.6370626743071791,0.6371225951430467
2024-04-30,107447,-4.773267960531392e-05,-2.6744676314546074e-05,0.6418936078485499,0.6419413405281551
2024-05-31,89995,-4.838600919155412e-05,-2.6521512364781037e-05,0.6408449826249341,0.6408933686341257
2024-06-30,65692,-3.791862509062334e-05,-1.9569001509367326e-05,0.6573996288688237,0.6574375474939144
2024-07-31,34934,-2.7313294767718234e-05,-1.5354542092360027e-05,0.6502629552012003,0.6502902684959679
