lambda,theta_pplx,theta_pplx_lat_ref,window_delta_x_mpd,max_established_shift,n_scoreable
1e-06,0.3783110898629269,0.28739604572138217,0.01689630513353716,0.0,29422
0.1,0.30565235792456447,0.28739604572138217,-2.474456431258346,0.0005041562169110364,29422
0.3,0.2122852669165537,0.28739604572138217,-4.297643619860589,0.0015061218060699391,29422
1.0,0.07962066347741872,0.28739604572138217,-5.467708995923947,0.004983914254381855,29422
3.0,0.0,0.28739604572138217,-5.57051183662272,0.014782435314307375,29422
10.0,-0.024326429365268607,0.28739604572138217,-5.099672534760014,0.047859828285301415,29422
30.0,-0.030951541174398085,0.28739604572138217,-3.7019637975529776,0.1332831700046667,29422
100.0,-0.02164825619832196,0.28739604572138217,1.344641497946165,0.35926296648468714,29422
