unit,bin,stratum,pooled_x_mpd,ci_lo_x_mpd,ci_hi_x_mpd,n_windows,n_votes,ci_bearing
u0.5855,high,recent,-0.27507610866484283,-1.1689691865061482,0.04007779664328774,2,4488,True
u0.5855,high,established,-0.15962582342782758,-0.17022730219303356,-0.13312955760416473,2,7922,True
u0.5855,high,full,-0.2443748692535615,-0.6334479414883241,-0.11570607243974568,2,12410,True
u0.5855,moderate,recent,-0.16596051941573173,-0.34535906221163437,-0.060809295255957276,5,64765,True
u0.5855,moderate,established,-0.1572961337991493,-0.30492384334759504,0.04518505656492729,5,40445,True
u0.5855,moderate,full,-0.15743430705187855,-0.31612029180806406,-0.0662558340962729,5,105210,True
u0.5855,low,recent,-0.0965143989664804,-0.14400207009213065,-0.02790085541760484,6,260168,True
u0.5855,low,established,-0.110274967147844,-0.17835666918747406,-0.05642263473114222,6,106811,True
u0.5855,low,full,-0.09686940637069691,-0.14194459879043048,-0.056110216630084433,6,366979,True
u0.1,high,recent,-0.1635870333009735,-0.37911583236314567,0.02511229747182178,2,4488,True
u0.1,high,established,0.019407706484833233,-0.15257092734657002,0.19516446488642913,2,7922,True
u0.1,high,full,-0.09416662674952991,-0.10650686148591132,-0.08221726699516686,2,12410,True
u0.1,moderate,recent,-0.08358593995344436,-0.21183050436095058,-0.036413600984902685,5,64765,True
u0.1,moderate,established,-0.23037475461397822,-0.4367900031810623,-0.05520908759875256,5,40445,True
u0.1,moderate,full,-0.10701841742405972,-0.2862076156143803,-0.07128854801716905,5,105210,True
u0.1,low,recent,-0.11504332055121244,-0.14904078735737353,-0.10525541623962408,6,260168,True
u0.1,low,established,-0.12794907107437423,-0.19492972778277007,-0.09637522137682926,6,106811,True
u0.1,low,full,-0.1163796954159852,-0.1556911366088076,-0.10174163037914848,6,366979,True
u0.8,high,recent,-0.015342136443442164,-0.43737264368144585,0.9927984986873299,2,4488,True
u0.8,high,established,-0.09365289306003413,-0.13758690910740537,-0.07159267005118809,2,7922,True
u0.8,high,full,0.004970489373859207,-0.16642048968939932,0.40839780185948293,2,12410,True
u0.8,moderate,recent,-0.2208829316899406,-0.433022070100999,-0.13737275811682811,5,64765,True
u0.8,moderate,established,-0.3771395144174485,-0.7703011338108899,-0.07328367030143743,5,40445,True
u0.8,moderate,full,-0.26006477294522423,-0.5267736674224528,-0.14367593304415893,5,105210,True
u0.8,low,recent,-0.21678931423323514,-0.32253204266125957,-0.14996164720323749,6,260168,True
u0.8,low,established,-0.19739435048646858,-0.3160752193595639,-0.11797469040902692,6,106811,True
u0.8,low,full,-0.1938173191512677,-0.24367266081185834,-0.1681110727776334,6,366979,True
