window,n,mean_d_logloss,mean_d_brier,mean_ll_bt,mean_ll_lat,unit
wk01,2359,6.117457601504518e-06,-1.6961214253834043e-07,0.6518936854076711,0.6518875679500696,u0.1
wk02,2606,-2.0269039109855415e-05,-1.0155365250917663e-05,0.6588357675696216,0.6588560366087316,u0.1
wk03,2654,-5.968310477919684e-05,-2.8397296205382707e-05,0.6537099631751961,0.6537696462799752,u0.1
wk04,1915,-4.461267995244918e-05,-2.1543991713404356e-05,0.6512578077711628,0.6513024204511153,u0.1
wk05,4994,-2.516071810262211e-05,-1.1114759324920358e-05,0.6494265696525601,0.6494517303706626,u0.1
wk06,8918,-6.532145644947984e-05,-3.0928205586382966e-05,0.6521102062495655,0.652175527706015,u0.1
wk07,6585,-3.467155510114717e-05,-1.9524684300089746e-05,0.6479725184394618,0.648007189994563,u0.1
wk08,7132,-5.320852901050765e-05,-2.7612297543724223e-05,0.6510437140614382,0.6510969225904487,u0.1
wk09,10694,-3.660112587001954e-06,-4.941449354910871e-06,0.652756700296648,0.6527603604092349,u0.1
wk10,7701,-3.317672620263476e-05,-1.6965968506697544e-05,0.6486946314522252,0.6487278081784278,u0.1
wk11,8517,-3.5857545026867136e-05,-1.9312745158035313e-05,0.645692240305177,0.6457280978502039,u0.1
wk12,9635,-3.0411485178932235e-05,-1.7772228805599486e-05,0.6465768440235239,0.6466072555087028,u0.1
wk01,2359,-0.0001338789124107741,-5.842330797729114e-05,0.6518936854076711,0.6520275643200819,u0.6892_early
wk02,2606,-0.00011678986546812673,-5.644789864760804e-05,0.6588357675696216,0.6589525574350896,u0.6892_early
wk03,2654,-0.000212874922767872,-0.00010725128649987509,0.6537099631751961,0.6539228380979639,u0.6892_early
wk04,1915,-0.00011347677786291043,-5.6777725416048616e-05,0.6512578077711628,0.6513712845490257,u0.6892_early
wk05,4994,-3.227272705195178e-05,-1.723415724216578e-05,0.6494265696525601,0.6494588423796119,u0.6892_early
wk06,8918,-5.593969801563091e-05,-3.123387392859476e-05,0.6521102062495655,0.6521661459475812,u0.6892_early
wk07,6585,1.3813477506221094e-05,-1.935095035104276e-06,0.6479725184394618,0.6479587049619555,u0.6892_early
wk08,7132,-0.00013304562307890974,-6.485132181893089e-05,0.6510437140614382,0.651176759684517,u0.6892_early
wk09,10694,-6.71948174293527e-05,-3.618839529184163e-05,0.652756700296648,0.6528238951140773,u0.6892_early
wk10,7701,-5.047649401331018e-05,-2.8267924097853955e-05,0.6486946314522252,0.6487451079462385,u0.6892_early
wk11,8517,-8.001064361193241e-05,-4.110088371334991e-05,0.645692240305177,0.6457722509487891,u0.6892_early
wk12,9635,-4.777946843549827e-05,-2.867514081460811e-05,0.6465768440235239,0.6466246234919594,u0.6892_early
wk01,2359,-0.00013293972002354905,-5.8085096926452565e-05,0.6518936854076711,0.6520266251276946,u0.6926_full
wk02,2606,-0.00011654900681080809,-5.639382697988735e-05,0.6588357675696216,0.6589523165764325,u0.6926_full
wk03,2654,-0.0002152334367283199,-0.00010786770532944753,0.6537099631751961,0.6539251966119245,u0.6926_full
wk04,1915,-0.00011246947052105808,-5.643363377790694e-05,0.6512578077711628,0.6513702772416838,u0.6926_full
wk05,4994,-3.334338076187531e-05,-1.772374717384826e-05,0.6494265696525601,0.649459913033322,u0.6926_full
wk06,8918,-5.316917131118932e-05,-3.0069331775169535e-05,0.6521102062495655,0.6521633754208767,u0.6926_full
wk07,6585,2.1005238677006283e-05,1.1181843589227883e-06,0.6479725184394618,0.6479515132007848,u0.6926_full
wk08,7132,-0.000132725699893617,-6.472605563606572e-05,0.6510437140614382,0.6511764397613318,u0.6926_full
wk09,10694,-6.963793961927274e-05,-3.7306241957425156e-05,0.652756700296648,0.6528263382362671,u0.6926_full
wk10,7701,-4.9714903572106106e-05,-2.7964082055408985e-05,0.6486946314522252,0.6487443463557973,u0.6926_full
wk11,8517,-7.979023812511664e-05,-4.1024026937914666e-05,0.645692240305177,0.6457720305433021,u0.6926_full
wk12,9635,-5.6249585883111214e-05,-3.27402343941029e-05,0.6465768440235239,0.646633093609407,u0.6926_full
