checkpoint,n_cold,n_new_models,cold_share,sigma2,kappa,nll_half,nll_prior,nll_temper,nll_oracle,prior_gain,temper_gain,oracle_gain,collected
2023-07-01,2103,3,0.3718175388967468,,1.0,0.6931471805599453,0.7092092208353343,0.7092092208353343,0.6069329064291311,-40.15510068847261,-40.15510068847261,215.53568532703542,-0.18630372333725012
2023-08-01,927,3,0.26002805049088357,1.4487503273985929,0.43272793983949526,0.6931471805599453,0.6802200207863801,0.6739828717209501,0.6700450307562548,32.31789943391294,47.91077209748806,57.75537450922629,0.829546557434831
2023-09-01,2328,3,0.28955223880597014,0.9646282902483434,0.4466611396474361,0.6931471805599453,0.6653422715949361,0.6683511572224609,0.6524555082964033,69.512272412523,61.99005834371107,101.72918065885494,0.609363586163074
2023-10-01,2965,3,0.3015969891160614,0.8350566354389656,0.5008369017033055,0.6931471805599453,0.7264600180251409,0.6913554730724002,0.6777629038983034,-83.28209366298911,4.479268718862728,38.46069165410471,0.11646355086764747
2023-11-01,11125,11,0.42435916997253587,0.7163621554042993,0.44403172345303304,0.6931471805599453,0.6820783205796882,0.6785364138819101,0.6530682871507987,27.67214995064271,36.52691669508795,100.19723352286653,0.3645501518437827
2023-12-01,13967,5,0.3106055551849134,0.4556311134155558,0.5041136542994802,0.6931471805599453,0.6805093604365962,0.6716138024533141,0.6494663114232279,31.594550308372824,53.83344526657785,109.20217284179355,0.49297045897217584
2024-01-01,15528,6,0.35471491228070173,0.39192934717865807,0.5391240874002219,0.6931471805599453,0.6783350123147506,0.6747052285723734,0.6300252026426025,37.03042061298678,46.10487996892981,157.80494479335687,0.2921637216711012
2024-02-01,25796,12,0.4861666038447041,0.3381076423347896,0.5688383538464938,0.6931471805599453,0.6593327985315115,0.6644001129981288,0.6453994525632352,84.53595507108446,71.8676689045411,119.3693199917753,0.6020614753396675
2024-03-01,67877,7,0.552366459425149,0.2591847218681203,0.665333351199475,0.6931471805599453,0.6999311957645118,0.6878794386783722,0.6337226866967411,-16.960038011416266,13.169354703932711,148.56123465801033,0.0886459696854884
2024-04-01,103822,15,0.5145867821845974,0.25071302137793694,0.5523179107800822,0.6931471805599453,0.688001787466977,0.6781096003121497,0.6494837782178705,12.863482732420605,37.593950619488886,109.15850585518693,0.34439781238268496
2024-05-01,104384,15,0.42563498244598214,0.2176277771123711,0.5476247524563275,0.6931471805599453,0.6826162902601481,0.6801025588005621,0.6491918173250785,26.327225749492865,32.61155439845786,109.88840808716704,0.2967697409228945
2024-06-01,38542,7,0.28447429604753294,0.19075824422188348,0.572975847529106,0.6931471805599453,0.7159400887167644,0.6900117514928986,0.657410688469455,-56.98227039204778,7.838572667616672,89.34123022622558,0.08773746060769719
2024-07-01,37298,13,0.3399442206383638,0.20760391660998884,0.5354553120554058,0.6931471805599453,0.6802570269621555,0.6737101373436836,0.6315528399051455,32.22538399447444,48.59260804065429,153.98585163699934,0.3155654076272198
