window,n,mean_d_logloss,mean_ll_dav,mean_ll_lat
wk01,2876,0.00010830657727854741,1.0087090072740381,1.0086007006967597
wk02,3185,0.00038925003046533956,1.0134173506282442,1.0130281005977788
wk03,3284,-0.00023372882374508538,1.013174677966886,1.013408406790631
wk04,2337,0.00024114296231728295,1.002026192613462,1.0017850496511445
wk05,6092,0.0003080294055471257,1.005536315786529,1.0052282863809818
wk06,10881,-8.778910154940419e-05,1.0045354521914756,1.0046232412930252
wk07,8119,9.396237285615462e-05,1.0070012833138158,1.0069073209409596
wk08,8584,0.00046363172499316874,0.9933754003658801,0.9929117686408869
wk09,12994,0.00031642547608406833,1.0026821041109355,1.0023656786348514
wk10,9392,0.0002695217570907691,0.9999805799171048,0.999711058160014
wk11,10290,0.0003149460173685528,0.9904124033997621,0.9900974573823936
wk12,11724,0.0003488286368277976,0.9954873112883545,0.9951384826515267
