experiment,dropped,pooled_x_mpd,ci_lo_x_mpd,ci_hi_x_mpd,verdict
rq3_u0.5855,2023-07-31,-0.12055182329294883,-0.18830257722047036,-0.07315988729465833,equivalence
rq3_u0.5855,2023-08-31,-0.11521340575752852,-0.17865952577095956,-0.06764690127552819,equivalence
rq3_u0.5855,2023-09-30,-0.12136518363128602,-0.1909189167370101,-0.07260065906362331,equivalence
rq3_u0.5855,2023-10-31,-0.12174817655484373,-0.19310910180083696,-0.07251015351749149,equivalence
rq3_u0.5855,2023-11-30,-0.1302185264957286,-0.20510432969128295,-0.08147539349588241,equivalence
rq3_u0.5855,2023-12-31,-0.1166213942005778,-0.1875858287909679,-0.06642510690300428,equivalence
rq3_u0.5855,2024-01-31,-0.12009010097046899,-0.19157196861932402,-0.06991613107893586,equivalence
rq3_u0.5855,2024-02-29,-0.10156927055763945,-0.14685581854438584,-0.06361149752206094,equivalence
rq3_u0.5855,2024-03-31,-0.11793253316486729,-0.1963759553760073,-0.06657449963596729,equivalence
rq3_u0.5855,2024-04-30,-0.11964564854247817,-0.209212803006717,-0.06452534044517112,equivalence
rq3_u0.5855,2024-05-31,-0.14108855270580895,-0.21298926493576312,-0.09154001149467833,equivalence
rq3_u0.5855,2024-06-30,-0.12737641611257047,-0.20905183539274388,-0.07093029672069423,equivalence
rq3_u0.5855,2024-07-31,-0.12617325179423342,-0.20303599280300783,-0.07395861571818581,equivalence
rq3_u0.5855,(none),-0.12128657951235419,-0.19120850663067515,-0.07389612829776307,equivalence
rq4_main,2023-07-31,0.8148971521592299,-0.009066985797711945,2.465144281927521,inconclusive
rq4_main,2023-08-31,0.8225315468934339,-0.006404377590370046,2.4883944299537006,inconclusive
rq4_main,2023-09-30,0.8281654295002572,-0.002278851478367279,2.49926040752582,inconclusive
rq4_main,2023-10-31,0.8416132524640809,0.001263987728032066,2.556316553777264,inconclusive
rq4_main,2023-11-30,0.281142081983279,-0.06709463697796836,0.7771995812877617,equivalence
rq4_main,2023-12-31,0.9262795338515631,0.07591521728727219,2.7590080628399045,inconclusive
rq4_main,2024-01-31,0.8705568141737356,0.019280248849326942,2.6510134857076832,inconclusive
rq4_main,2024-02-29,0.7952482780377742,-0.05794144926302223,2.6388621491491713,inconclusive
rq4_main,2024-03-31,0.8956431695050806,-0.01651305277454904,2.83480703527903,inconclusive
rq4_main,2024-04-30,1.1731874737130799,0.20650273217514753,3.1437374945286547,lattice_positive
rq4_main,2024-05-31,0.9009653931722178,-0.06297421317578228,3.0047507248775474,inconclusive
rq4_main,2024-06-30,0.990167083113895,0.03861684874389781,2.97775166054768,inconclusive
rq4_main,2024-07-31,0.8314845009895405,-0.033734075784881634,2.7324410221119777,inconclusive
rq4_main,(none),0.8376471645492725,0.016505542057163113,2.5418967246521293,inconclusive
