regime,truth_unit,truth_skew,n_recent_models,stratum_votes_28d,recent_cohort_median_se_elo,recent_cohort_max_se_elo,era_median_se_elo,stratum_expected_delta_x_mpd
early_2023-08-31,0.5855,0.0,3,1439,17.74651648054824,24.2180078392221,5.630426291302994,1.5775875819137155
early_2023-08-31,1.2,6.0,3,1439,17.74651648054824,24.2180078392221,5.630426291302994,2.3835793875438616
mid_2023-12-31,0.5855,0.0,5,22643,4.8785970347342955,7.629247025946801,4.378062742547724,0.24079042627661104
mid_2023-12-31,1.2,6.0,5,22643,4.8785970347342955,7.629247025946801,4.378062742547724,0.3361142135602352
full_2024-08-12,0.5855,0.0,13,116311,3.0530759469008815,5.282087112495996,2.665823974060234,0.10607008390767132
full_2024-08-12,1.2,6.0,13,116311,3.0530759469008815,5.282087112495996,2.665823974060234,0.16500793762197224
