bin,n,emp,fit,variant,window,model
"(0.0, 0.15]",464,0.2543103448275862,0.15823069915880508,main_tie_only,2023-07-31,davidson
"(0.15, 0.3]",306,0.1895424836601307,0.1573719757993395,main_tie_only,2023-07-31,davidson
"(0.3, 0.5]",459,0.18518518518518517,0.15582925939415418,main_tie_only,2023-07-31,davidson
"(0.5, 0.8]",474,0.16877637130801687,0.1510593221667241,main_tie_only,2023-07-31,davidson
"(0.8, 1.2]",771,0.16861219195849547,0.14233299736898153,main_tie_only,2023-07-31,davidson
"(1.2, 2.0]",551,0.1397459165154265,0.12844365358797855,main_tie_only,2023-07-31,davidson
"(0.0, 0.15]",559,0.24508050089445438,0.16598979091028981,main_tie_only,2023-07-31,lattice
"(0.15, 0.3]",552,0.19202898550724637,0.16180892840404812,main_tie_only,2023-07-31,lattice
"(0.3, 0.5]",330,0.1606060606060606,0.1582033353962341,main_tie_only,2023-07-31,lattice
"(0.5, 0.8]",691,0.17221418234442837,0.1507348643197984,main_tie_only,2023-07-31,lattice
"(0.8, 1.2]",774,0.1511627906976744,0.13356711080474942,main_tie_only,2023-07-31,lattice
"(1.2, 2.0]",212,0.1179245283018868,0.09753423081645725,main_tie_only,2023-07-31,lattice
"(0.0, 0.15]",797,0.191969887076537,0.16253511268171134,main_tie_only,2023-08-31,davidson
"(0.15, 0.3]",814,0.16707616707616707,0.16144289329056727,main_tie_only,2023-08-31,davidson
"(0.3, 0.5]",1306,0.17075038284839203,0.16018113164285763,main_tie_only,2023-08-31,davidson
"(0.5, 0.8]",1551,0.17408123791102514,0.1546278915884246,main_tie_only,2023-08-31,davidson
"(0.8, 1.2]",1707,0.15348564733450498,0.14664068533026436,main_tie_only,2023-08-31,davidson
"(1.2, 2.0]",605,0.09421487603305785,0.13110232965732155,main_tie_only,2023-08-31,davidson
"(0.0, 0.15]",882,0.1870748299319728,0.1700013350247452,main_tie_only,2023-08-31,lattice
"(0.15, 0.3]",1757,0.1644849174729653,0.16513956929073031,main_tie_only,2023-08-31,lattice
"(0.3, 0.5]",804,0.19029850746268656,0.16133737872450438,main_tie_only,2023-08-31,lattice
"(0.5, 0.8]",2129,0.16533583842179428,0.15385039385635935,main_tie_only,2023-08-31,lattice
"(0.8, 1.2]",1149,0.1174934725848564,0.13575925387920443,main_tie_only,2023-08-31,lattice
"(1.2, 2.0]",59,0.11864406779661017,0.10758736159611243,main_tie_only,2023-08-31,lattice
"(0.0, 0.15]",1865,0.18016085790884717,0.16601314421337857,main_tie_only,2023-09-30,davidson
"(0.15, 0.3]",1828,0.1974835886214442,0.16512655193194398,main_tie_only,2023-09-30,davidson
"(0.3, 0.5]",1071,0.19514472455648926,0.1635589821926049,main_tie_only,2023-09-30,davidson
"(0.5, 0.8]",1173,0.16709292412617222,0.15838239524647313,main_tie_only,2023-09-30,davidson
"(0.8, 1.2]",1807,0.15218594355285003,0.15069619368555198,main_tie_only,2023-09-30,davidson
"(1.2, 2.0]",363,0.14325068870523416,0.1324394600872867,main_tie_only,2023-09-30,davidson
"(0.0, 0.15]",2715,0.18968692449355432,0.1695945400213943,main_tie_only,2023-09-30,lattice
"(0.15, 0.3]",1587,0.19407687460617518,0.16631498974828895,main_tie_only,2023-09-30,lattice
"(0.3, 0.5]",942,0.16772823779193205,0.1618861722749777,main_tie_only,2023-09-30,lattice
"(0.5, 0.8]",2124,0.16290018832391714,0.1532531187843098,main_tie_only,2023-09-30,lattice
"(0.8, 1.2]",588,0.14795918367346939,0.13911571231453068,main_tie_only,2023-09-30,lattice
"(1.2, 2.0]",209,0.09569377990430622,0.10749473136964964,main_tie_only,2023-09-30,lattice
"(0.0, 0.15]",3760,0.17207446808510637,0.16732769566650152,main_tie_only,2023-10-31,davidson
"(0.15, 0.3]",3723,0.18130539887187752,0.16664284240626948,main_tie_only,2023-10-31,davidson
"(0.3, 0.5]",3107,0.19085934985516576,0.16500531375260943,main_tie_only,2023-10-31,davidson
"(0.5, 0.8]",1795,0.17381615598885794,0.16098735496394118,main_tie_only,2023-10-31,davidson
"(0.8, 1.2]",1561,0.15054452274183217,0.1533582586392637,main_tie_only,2023-10-31,davidson
"(1.2, 2.0]",376,0.13297872340425532,0.13681090682210653,main_tie_only,2023-10-31,davidson
"(0.0, 0.15]",5131,0.18417462482946795,0.1695369273337323,main_tie_only,2023-10-31,lattice
"(0.15, 0.3]",4278,0.18653576437587657,0.16633746834937996,main_tie_only,2023-10-31,lattice
"(0.3, 0.5]",2531,0.16436191228763333,0.16224554470085473,main_tie_only,2023-10-31,lattice
"(0.5, 0.8]",1933,0.1520951888256596,0.15334724932581437,main_tie_only,2023-10-31,lattice
"(0.8, 1.2]",354,0.13559322033898305,0.13571776637593871,main_tie_only,2023-10-31,lattice
"(1.2, 2.0]",156,0.11538461538461539,0.10672642341222574,main_tie_only,2023-10-31,lattice
"(0.0, 0.15]",6937,0.2041228196626784,0.16734803265823245,main_tie_only,2023-11-30,davidson
"(0.15, 0.3]",6099,0.2103623544843417,0.16640759604249541,main_tie_only,2023-11-30,davidson
"(0.3, 0.5]",8160,0.21887254901960784,0.16478835737505618,main_tie_only,2023-11-30,davidson
"(0.5, 0.8]",8493,0.20040032968326857,0.15955765414371154,main_tie_only,2023-11-30,davidson
