unit,skew_a,min_kl_nats,x_mpd,best_logistic_scale
0.1,0.0,2.0497231300173463e-06,0.005124307825043365,0.8531069371294144
0.4,0.0,1.9672349139923917e-06,0.004918087284980979,0.790536257170374
0.5855,0.0,3.472739264842614e-06,0.008681848162106534,0.7573284774501565
0.8,0.0,1.1069215215958253e-05,0.027673038039895632,0.7256479993690222
1.2,0.0,3.1009876472510286e-05,0.07752469118127571,0.6920459488285285
0.8,4.0,9.140356125301706e-05,0.22850890313254266,0.4574530791544258
1.2,6.0,4.8048562827922036e-05,0.12012140706980508,0.6550537553540369
