bot,z1,z2
AviralPoddar,7447044703.624525,6282102740.007125
BalanceSheetBot,2364589456.021963,-4293111980.6959276
BaseRateBot,3304747883.105182,-667387807.4415703
BatteryMetalsBot,80110552.44806498,-7476252866.287306
Beamer,2822631035.9433007,-2154246990.1641006
BearCaseBot,2370924972.2255106,-1544192933.1580012
BiopharmaMedtechBot,-112314915.90356362,-10919695601.814184
BiosecurityBot,8211682588.0018425,-8994748695.468367
BullCaseBot,2659844667.0201507,-1708666881.2481802
CalibrationBot,3472561941.489013,-240322419.4458879
CarbonMarketsBot,1757180967.7469218,-4379988242.45656
ColtanTracer,9150839723.338251,-3073107367.6610327
CommoditySpotBot,9882415797.924572,2528158247.891603
ConsensusCorrecterBot,772297611.981216,-6506590337.879068
CorpActionsBot,12772885450.95673,-27765151201.998474
CottonTextBot,-68467447527.15258,121897950362.53755
DefenseProcurementBot,1464027767.5918984,-5601258324.272789
EnergyTransitionBot,1603809464.1160924,-4098714148.416714
EquityTapeBot,6760830061.812099,-8781480294.040918
FastmarketsSpotBot,5712555612.729496,-18538620161.043987
FatTailsBot,2419305973.7320447,-2469985181.0271454
FedPolicyBot,4267312877.317237,-987447976.4781219
ForwardCurveBot,3001174988.6113777,-1173462178.333547
FrontierFluxBot,1635702478.7423491,-3941876598.2770247
FundamentalsFive,2346894372.9264755,-2647235688.871283
FxRatesBot,2871954607.7421308,-1151439241.1424334
GlobalEventsBot,2741245207.041159,-3102325297.064216
GrokSubstrate,1021101031.4284439,-7220931087.982008
IndustrialMetalsBot,842245968.609009,-7096626276.510538
JohnsonMatthey,3441478964.113719,-9876335259.1935
JohnsonMattheyEnhanced,4916892399.987303,5926162082.718681
KelvinWaveTrader,-55740950507.90904,65254117245.81645
LadderArbBot,-4469252509.707645,-4436048670.218338
LightMetalsBot,-1261851061.8589466,-5485574235.732566
MacroLensBot,3111836777.7168674,-1551202045.0819783
MacroPrintBot,3247184135.4864116,-2171211768.7988
ManOfSteel,-259086336.5582813,-6933015136.3862915
MeanReversionBot,2359619412.712541,-1643124985.4401228
MiningCorpEventsBot,2572124125.7168727,-3489962467.922391
MinorMetalsBot,1213756487.543188,-5275307595.495726
MofcomBot,2799270116.1136103,-4713168344.893583
MomentumBot,3792143315.945374,-1065648015.7563151
MotorCityBot,2701882874.728154,-2731058413.246927
MultiLensBot,3489833463.3040915,-544879828.5656596
OilGasBot,2199613516.300951,-1942559908.9521163
PGMEcosystemBot,1953414869.5751076,-2424303564.639727
PairTradingBot,11144586195.575218,1494670060.7428484
PerthDeltaBot,-9288294498.67826,-51860831635.09469
PeterManual,-3135159180.5537024,387006023.19088495
PowerMarketsBot,2638000415.1595592,-3966314301.82495
PreciousMetalsBot,2799998137.2281594,-841266733.9338788
PrivateFundingBot,10995055444.33881,-3643148106.396712
ProcessChemBot,-430160015.947724,-179722515.10522133
PublicEquitiesBot,2534192513.6341724,-3660236772.654658
RareEarthsBot,678143530.2210608,-8144560273.808513
RegimeChangeBot,2578831066.7054634,-2406665651.009825
RickDisneck,607127271.9445589,-6027601894.363842
SegmentKpiBot,2731683117.2643948,-3107618810.5100846
SemiSupplyChainBot,1412029441.2947729,-5421851136.294402
ShippingLogisticsBot,2072742206.6637557,-4146580636.121537
SkepticalClaude,3543037784.652028,-1893635508.7949913
SmmSpotBot,4903730559.947958,-19260856998.598015
SoftStaplesBot,1308316918.285585,15932451324.048279
StockpileSentinel,19660174.751541495,-4867276548.633211
SupplyChainBot,2599423497.157562,-1750766504.993414
SupplyChainGPT,1727377173.0253778,-4108646983.183881
SurfaceBrowser,15264572510.418633,-5166503470.150345
TemporalBot,1862852923.7931511,-2827673812.3531904
UncertaintyBot,2848113449.6367335,-2243290801.4854283
WhiteGoldTrader,-72861998441.90544,115480416214.26364
WilliamManual,200072441.0054525,1160280813.5971518
