bot,z1,z2,consensus_skill,rayproj_skill_diagnostic,best_seed,price_mse,n_conditions,n_races,rank_median,rank_lo95,rank_hi95,skill_lo95,skill_hi95,boot_coverage,boot_level,boot_lower_bound
SoftStaplesBot,1308316918.285585,15932451324.048279,13415696137.69524,-6211823646.982945,7,0.011040628732491495,11,188,10.0,1.0,68.025,-15964104456.211973,12194917368.15413,1.0,cluster,False
KelvinWaveTrader,-55740950507.90904,65254117245.81645,6831598472.528601,-79607657082.64717,7,0.011040628732491495,4,57,60.0,1.0,71.0,-74150217996.33142,29245733541.8717,0.675,cluster,False
BiosecurityBot,8211682588.0018425,-8994748695.468367,3990473826.0451126,11441570283.15615,7,0.011040628732491495,3,56,62.0,1.0,71.0,-94529331323.05069,9302377446.659906,0.995,cluster,False
EquityTapeBot,6760830061.812099,-8781480294.040918,1613587880.8170176,10056679439.647968,7,0.011040628732491495,7,259,12.5,1.0,66.0,-11951056126.718811,9275634449.766365,1.0,cluster,False
FedPolicyBot,4267312877.317237,-987447976.4781219,360705215.9482622,4239949554.2347317,7,0.011040628732491495,107,1065,32.0,3.0,58.025000000000006,-2055029677.8676958,1951751680.3558521,1.0,cluster,False
CalibrationBot,3472561941.489013,-240322419.4458879,206099440.0584698,3189701576.287983,7,0.011040628732491495,421,4562,24.0,5.9750000000000005,55.0,-696403336.078134,1216551720.8235004,1.0,cluster,False
BalanceSheetBot,2364589456.021963,-4293111980.6959276,109081506.03022838,4082615369.1274567,7,0.011040628732491495,372,4018,32.0,7.0,56.025000000000006,-1097906359.3838649,851890168.3728462,1.0,cluster,False
SkepticalClaude,3543037784.652028,-1893635508.7949913,101457749.2241362,4017140274.587289,7,0.011040628732491495,425,4380,31.0,7.9750000000000005,50.025000000000006,-376947859.5995007,735000097.6341068,1.0,cluster,False
PublicEquitiesBot,2534192513.6341724,-3660236772.654658,86140930.90361474,3940151770.2073984,7,0.011040628732491495,378,3922,29.0,6.0,55.0,-1335704588.8325827,1167724010.3338978,1.0,cluster,False
PreciousMetalsBot,2799998137.2281594,-841266733.9338788,86025899.27663009,2871504669.56639,7,0.011040628732491495,211,1988,36.0,6.0,55.0,-1229628098.2155933,741668496.3005844,1.0,cluster,False
PowerMarketsBot,2638000415.1595592,-3966314301.82495,78464137.27293739,4173796865.4114914,7,0.011040628732491495,258,2408,36.0,7.0,55.025000000000006,-1211765946.3492377,1344422991.2726722,1.0,cluster,False
GlobalEventsBot,2741245207.041159,-3102325297.064216,74548137.45008244,3865572620.387044,7,0.011040628732491495,355,3573,29.0,7.950000000000001,55.025000000000006,-778697700.5211246,1200790754.6048467,1.0,cluster,False
SegmentKpiBot,2731683117.2643948,-3107618810.5100846,74369481.58905323,3859544821.0135775,7,0.011040628732491495,5,197,52.0,1.0,67.0,-17392668081.22321,5118800655.05249,1.0,cluster,False
MiningCorpEventsBot,2572124125.7168727,-3489962467.922391,74245779.33014184,3894995982.4682455,7,0.011040628732491495,294,3029,28.0,5.9750000000000005,60.0,-1965002672.5103545,1586606346.4584486,1.0,cluster,False
FxRatesBot,2871954607.7421308,-1151439241.1424334,68755369.52560884,3078807394.1345577,7,0.011040628732491495,117,1022,31.5,4.0,57.0,-1957427720.4014685,1483781171.1296935,1.0,cluster,False
MacroPrintBot,3247184135.4864116,-2171211768.7988,61619634.07586299,3883288878.2257757,7,0.011040628732491495,325,3191,34.5,8.975000000000001,54.05000000000001,-675708530.1054484,732853670.8287565,1.0,cluster,False
MotorCityBot,2701882874.728154,-2731058413.246927,57485496.48220042,3658898029.745013,7,0.011040628732491495,313,3259,32.0,7.0,58.0,-1128830025.4093108,1050533693.6496949,1.0,cluster,False
MacroLensBot,3111836777.7168674,-1551202045.0819783,49265871.18751224,3476432154.950489,7,0.011040628732491495,356,3621,33.5,6.9750000000000005,54.025000000000006,-509192192.7555317,913869568.1230446,1.0,cluster,False
UncertaintyBot,2848113449.6367335,-2243290801.4854283,47819242.264777325,3562853018.4353657,7,0.011040628732491495,409,4358,29.0,9.975000000000001,49.0,-379181534.794367,689725474.2884619,1.0,cluster,False
