bot,z1,z2,consensus_skill,rayproj_skill_diagnostic,best_seed,price_mse,n_conditions,n_races,rank_median,rank_lo95,rank_hi95,skill_lo95,skill_hi95,boot_coverage,boot_level,boot_lower_bound
Beamer,2822631035.9433007,-2154246990.1641006,39745356.519319795,3499063179.271882,7,0.011040628732491495,357,3637,30.0,10.0,56.025000000000006,-840715966.1301087,1124870028.863615,1.0,cluster,False
RegimeChangeBot,2578831066.7054634,-2406665651.009825,31195267.99222548,3399718604.846222,7,0.011040628732491495,380,4339,30.0,9.975000000000001,47.05000000000001,-272846403.5213499,745052838.6886253,1.0,cluster,False
BaseRateBot,3304747883.105182,-667387807.4415703,30785765.957319275,3238526418.9154334,7,0.011040628732491495,416,4707,27.5,8.0,51.07500000000002,-1142062134.5476363,917359939.4952031,1.0,cluster,False
ForwardCurveBot,3001174988.6113777,-1173462178.333547,29189685.74901199,3203553966.2346816,7,0.011040628732491495,364,3681,30.0,10.975000000000001,53.0,-651790572.3869802,730925398.6792688,1.0,cluster,False
MultiLensBot,3489833463.3040915,-544879828.5656596,28547456.57152258,3345926786.7282596,7,0.011040628732491495,426,4937,30.0,6.0,54.0,-1195067958.044905,1082522904.735075,1.0,cluster,False
ShippingLogisticsBot,2072742206.6637557,-4146580636.121537,26920522.573684968,3756088276.735072,7,0.011040628732491495,277,2695,31.0,7.0,54.025000000000006,-849442012.6888871,1420925939.1937141,1.0,cluster,False
FundamentalsFive,2346894372.9264755,-2647235688.871283,21222618.29403249,3305408946.3496265,7,0.011040628732491495,389,4304,31.0,9.975000000000001,52.0,-415468857.43779415,899225411.5513579,1.0,cluster,False
GrokSubstrate,1021101031.4284439,-7220931087.982008,19743451.05701852,4246233770.7862067,7,0.011040628732491495,299,3007,30.0,6.0,53.025000000000006,-507081626.0674167,2152042156.2837315,1.0,cluster,False
FatTailsBot,2419305973.7320447,-2469985181.0271454,19093803.721888777,3287592713.488879,7,0.011040628732491495,347,3810,27.0,10.0,50.05000000000001,-534126144.4049661,733081484.5620826,1.0,cluster,False
CarbonMarketsBot,1757180967.7469218,-4379988242.45656,18496045.901571576,3584329541.0686083,7,0.011040628732491495,315,3009,29.0,5.0,55.025000000000006,-908130092.950519,1401542696.1604517,1.0,cluster,False
MomentumBot,3792143315.945374,-1065648015.7563151,14214402.327619072,3854882325.358615,7,0.011040628732491495,398,4453,26.5,4.9750000000000005,56.05000000000001,-1178852355.997301,1039996445.6316977,1.0,cluster,False
BullCaseBot,2659844667.0201507,-1708666881.2481802,11399275.421648964,3148586775.2070847,7,0.011040628732491495,369,4338,29.0,7.0,52.0,-500395780.40493387,757222919.3785863,1.0,cluster,False
DefenseProcurementBot,1464027767.5918984,-5601258324.272789,10248244.900204511,3889503435.686549,7,0.011040628732491495,319,3235,31.5,4.0,60.0,-1196392555.2175863,2029719852.1910365,1.0,cluster,False
SemiSupplyChainBot,1412029441.2947729,-5421851136.294402,10168724.848519545,3760396995.3764877,7,0.011040628732491495,321,3309,30.5,9.0,54.0,-641292901.589458,1240231406.8714945,1.0,cluster,False
SupplyChainBot,2599423497.157562,-1750766504.993414,9582942.461949848,3114500765.3895526,7,0.011040628732491495,394,4381,30.5,10.0,52.025000000000006,-251028138.11104867,853948120.4830587,1.0,cluster,False
SupplyChainGPT,1727377173.0253778,-4108646983.183881,-4792122.804593255,3432362728.3552294,7,0.011040628732491495,388,4111,27.0,6.9750000000000005,53.0,-323095574.86240053,1163280015.447799,1.0,cluster,False
OilGasBot,2199613516.300951,-1942559908.9521163,-6308220.577101365,2848799331.657379,7,0.011040628732491495,113,1099,39.0,5.0,58.0,-2188072244.856853,1174776352.0502336,1.0,cluster,False
EnergyTransitionBot,1603809464.1160924,-4098714148.416714,-8937974.855190407,3318221271.1644936,7,0.011040628732491495,339,3503,29.0,7.0,52.0,-287736725.3543649,2003704916.401321,1.0,cluster,False
FrontierFluxBot,1635702478.7423491,-3941876598.2770247,-12433015.968036886,3273929084.3555517,7,0.011040628732491495,307,3203,34.0,8.0,57.0,-853115327.4636462,1243486414.4880998,1.0,cluster,False
MeanReversionBot,2359619412.712541,-1643124985.4401228,-14272526.637756439,2852104840.407027,7,0.011040628732491495,357,4209,27.0,10.0,51.0,-445858437.25914174,786250054.7642864,1.0,cluster,False
BearCaseBot,2370924972.2255106,-1544192933.1580012,-16661039.85349693,2816353288.049622,7,0.011040628732491495,407,4504,30.0,7.0,54.025000000000006,-225790950.25853765,1011474675.5338187,1.0,cluster,False
MinorMetalsBot,1213756487.543188,-5275307595.495726,-21060388.199206788,3516820089.925558,7,0.011040628732491495,269,2690,31.0,5.9750000000000005,58.0,-1269731577.4766486,1897482702.959343,1.0,cluster,False
TemporalBot,1862852923.7931511,-2827673812.3531904,-26295302.337939564,2959780422.9294868,7,0.011040628732491495,407,4480,27.0,7.0,51.025000000000006,-414916477.186172,1225925842.6937342,1.0,cluster,False
PGMEcosystemBot,1953414869.5751076,-2424303564.639727,-28119329.055095814,2853433095.6678834,7,0.011040628732491495,197,1967,29.0,6.0,55.0,-742460042.8413489,1211866400.0189757,1.0,cluster,False
MofcomBot,2799270116.1136103,-4713168344.893583,-39378395.38779685,4662323095.850103,7,0.011040628732491495,37,479,49.5,5.0,63.0,-7717721988.424768,1768078603.600367,1.0,cluster,False
BiopharmaMedtechBot,-112314915.90356362,-10919695601.814184,-72532102.54215775,4952789889.458113,7,0.011040628732491495,156,1450,33.0,5.0,58.0,-1252907421.9277697,2295771589.368097,1.0,cluster,False
IndustrialMetalsBot,842245968.609009,-7096626276.510538,-103858820.3597865,4030160772.165188,7,0.011040628732491495,285,2997,32.0,7.9750000000000005,52.025000000000006,-791648226.3544929,1323827965.095263,1.0,cluster,False
RickDisneck,607127271.9445589,-6027601894.363842,-114745447.08456494,3327102853.472312,7,0.011040628732491495,298,3114,28.0,7.9750000000000005,56.0,-305492372.81391454,1264566529.799904,1.0,cluster,False
RareEarthsBot,678143530.2210608,-8144560273.808513,-124820006.5508532,4369541529.873993,7,0.011040628732491495,219,2123,31.0,5.0,54.025000000000006,-698384840.0915737,1717357863.2365615,1.0,cluster,False
ConsensusCorrecterBot,772297611.981216,-6506590337.879068,-144422624.66549385,3695150179.625834,7,0.011040628732491495,210,2640,23.5,5.0,58.025000000000006,-1185939034.1780944,1198621428.6464052,1.0,cluster,False
BatteryMetalsBot,80110552.44806498,-7476252866.287306,-150821569.55761173,3530156515.972598,7,0.011040628732491495,261,2399,32.0,6.0,54.025000000000006,-1079906990.0332332,1362650239.3270967,1.0,cluster,False
JohnsonMattheyEnhanced,4916892399.987303,5926162082.718681,-243249595.1091772,1617005952.416514,7,0.011040628732491495,16,244,51.0,3.0,64.0,-18656766837.160656,2256957485.654182,1.0,cluster,False
PerthDeltaBot,-9288294498.67826,-51860831635.09469,-407194015.07307935,15760842504.114872,7,0.011040628732491495,22,229,53.0,3.0,67.0,-16459622452.222507,2629992970.0053225,1.0,cluster,False
ManOfSteel,-259086336.5582813,-6933015136.3862915,-488418680.87997615,2978103465.748349,7,0.011040628732491495,51,659,47.0,2.9750000000000005,62.0,-9413696544.490686,1488018488.6564488,1.0,cluster,False
StockpileSentinel,19660174.751541495,-4867276548.633211,-647009513.6703048,2269436308.04906,7,0.011040628732491495,25,389,48.0,3.0,62.0,-4764580994.7648325,3465631382.482442,1.0,cluster,False
LightMetalsBot,-1261851061.8589466,-5485574235.732566,-1063543146.7689264,1419422189.9402506,7,0.011040628732491495,50,388,49.0,3.0,64.0,-7237316888.628563,2572679747.110526,1.0,cluster,False
ProcessChemBot,-430160015.947724,-179722515.10522133,-1206190424.322664,-298192456.3677483,7,0.011040628732491495,14,162,57.0,2.9750000000000005,66.0,-31375606018.94111,2551633760.7146397,1.0,cluster,False
JohnsonMatthey,3441478964.113719,-9876335259.1935,-1525454603.0295234,7620567053.328129,7,0.011040628732491495,13,216,51.5,2.0,65.0,-13511056826.886017,6782967488.977437,1.0,cluster,False
AviralPoddar,7447044703.624525,6282102740.007125,-2836621878.9160686,3695358148.631962,7,0.011040628732491495,8,230,52.0,2.0,65.0,-17999854666.323605,3943096915.876243,1.0,cluster,False
SmmSpotBot,4903730559.947958,-19260856998.598015,-3803266606.079801,13258948300.677765,7,0.011040628732491495,2,43,63.0,2.75,70.0,-37831714735.678986,1942417867.5963807,0.955,cluster,False
WilliamManual,200072441.0054525,1160280813.5971518,-4182221985.269049,-359473482.89346296,7,0.011040628732491495,1,48,61.0,1.0,70.0,-58864192741.23916,10318227331.35999,0.97,cluster,False
FastmarketsSpotBot,5712555612.729496,-18538620161.043987,-4191539471.3220887,13641824019.464954,7,0.011040628732491495,2,30,63.0,1.0,71.0,-84643668902.08778,9688192792.397894,0.925,cluster,False
CommoditySpotBot,9882415797.924572,2528158247.891603,-4679008006.877181,7591259377.085004,7,0.011040628732491495,5,78,62.0,2.0,69.0,-46927696888.43748,4531743254.721166,0.96,cluster,False
LadderArbBot,-4469252509.707645,-4436048670.218338,-5216737260.881204,-1909613029.297575,7,0.011040628732491495,2,98,60.0,3.0,69.025,-62059475047.23359,3373925135.0467296,1.0,cluster,False
PeterManual,-3135159180.5537024,387006023.19088495,-5933506337.846736,-2958454074.715732,7,0.011040628732491495,1,194,57.0,2.0,67.0,-20017610887.948025,6111993328.737922,1.0,cluster,False
ColtanTracer,9150839723.338251,-3073107367.6610327,-6193879058.790059,9534311364.050083,7,0.011040628732491495,1,9,65.0,2.0,70.32499999999999,-45944705177.530556,2861486331.3017864,0.74,cluster,False
PairTradingBot,11144586195.575218,1494670060.7428484,-7163162309.990084,9188380960.166067,7,0.011040628732491495,3,54,64.0,4.0,70.0,-50748852128.629845,3614322048.7643886,0.91,cluster,False
PrivateFundingBot,10995055444.33881,-3643148106.396712,-8123066344.884751,11433000566.273575,7,0.011040628732491495,1,19,62.0,1.0,70.82499999999999,-61723276159.73226,29157314868.228313,0.84,cluster,False
SurfaceBrowser,15264572510.418633,-5166503470.150345,-12491249051.779947,15922859531.856106,7,0.011040628732491495,1,36,64.0,2.0,70.0,-64277951701.198425,3630411211.4214225,0.965,cluster,False
CorpActionsBot,12772885450.95673,-27765151201.998474,-17578915028.477234,24169934610.89882,7,0.011040628732491495,1,23,58.0,1.0,71.0,-190262222942.7252,29178247653.926342,0.885,cluster,False
WhiteGoldTrader,-72861998441.90544,115480416214.26364,-22046830315.84736,-118024736511.07225,7,0.011040628732491495,4,67,60.0,1.0,70.0,-71184195783.11612,16590912655.527864,0.76,cluster,False
CottonTextBot,-68467447527.15258,121897950362.53755,-26203743425.6278,-117098148260.68509,7,0.011040628732491495,3,69,62.0,1.0,71.0,-65163235885.85519,13097529723.786388,0.745,cluster,False
